en,ar,section
COMPOSITION,التركيب,header
each tablet of Ketotifen Hama Pharma tablets contains:,أقراص,dosage_form
PHARMACOKINETICS,الحرائك الدوائية,header
INDICATIONS,الاستطبابات,header
CONTRAINDICATIONS,مضادات الاستطبابات,header
WARNINGS AND PRECAUTIONS,التحذيرات والاحتياطات,header
DRUG INTERACTIONS,التداخلات الدوائية,header
UNDESIRABLE EFFECTS,الآثار غير المرغوبة,header
OVERDOSE,فرط الجرعة,header
PACKAGING,التغليف,header
"A box of 2 blisters, each contains 10 tablets of Ketotifen",أقراص,dosage_form
Hama Pharma Tablets.,أقراص,dosage_form
Ketotifen Hama Pharma TAbleTs,أقراص,dosage_form
– HAMAPHARMA/LEAF/Ketotifen Hama Pharma Tablets (Q:210x160mm),أقراص,dosage_form
– HAMAPHARMA/LEAF/Ketotifen Hama Pharma Tablets (Q:210x160mm),أقراص,dosage_form
