en,ar,section
(FIlM-COATeD TABleTS),أقراص ملبسة بالفيلم,dosage_form
MECHANISM OF ACTION,آلية التأثير,header
PHARMACOKINETICS,الحرائك الدوائية,header
INDICATIONS,الاستطبابات,header
CONTRAINDICATIONS,مضادات الاستطبابات,header
SIDE EFFECTS,الآثار الجانبية,header
DOSAGE AND ADMINISTRATION,الجرعة وطريقة الاستعمال,header
OVERDOSAGE,فرط الجرعة,header
A carton of 4 film-coated tablets/blister.,أقراص ملبسة بالفيلم,dosage_form
A carton of 30 film-coated tablets in a plastic container.,أقراص ملبسة بالفيلم,dosage_form
H©ó GEL,جل,dosage_form
"GCLôjâ OQGS°á Y∏≈ 724eôj†°Ék H©ó GELôGA GES°àÄü°É∫ GdÑôhS°àÉä )e©ó∫ G’CYªÉQ06S°æá,",جل,dosage_form
