en,ar,source,type,section,confidence,hash
Composition & Excipients,التركيب والسواغات,ABESTOL,term,header,high,4ca33988e4be143d5aaf1c1a0fe453ca
Composition,التركيب,ABESTOL,term,header,high,f5582ba92295d1adc807b33be61ac7f9
Excipients,السواغات,pricksage_gemini,term,gemini_curated,very_high,e92577407cd952b3e1a014f50be8f185
Clinical Pharmacology,الصيدلة السريرية,ABESTOL,term,header,high,0f8cb79874e6243bff3e652a5e0412c6
Indications,الاستطبابات,ABESTOL,term,header,high,c4dfecf1876303959f9d72d0c9b99db0
Contraindications,مضادات الاستطبابات,pricksage_gemini,term,gemini_curated,very_high,3d01553efd5be0bcd635d940806521c7
Dosage And Administration,الجرعة وطريقة الاستعمال,ABESTOL,term,header,high,79aea3a0a92602bb5c369fdf4f37fa76
Dosage,الجرعة,ABESTOL,term,header,high,012404a173564afcb7c1f67b50dd9a30
Side Effects,الآثار الجانبية,ABESTOL,term,header,high,5f3f5b7d392285919420c66c0a92ad25
Warnings,التحذيرات,ABESTOL,term,header,high,ad9da9b7f640895e9e189fce8423a2b1
Precautions,الاحتياطات,ABESTOL,term,header,high,c3177bab72464e3c9c9c56f9c791226a
Drug Interactions,التداخلات الدوائية,ABESTOL,term,header,high,33f745bc73dbec296697f9cbc7c511c6
Interactions,التداخلات,ABESTOL,term,header,high,3a4a7aa479a0c02187530d98a995ad67
Storage,التخزين,ABESTOL,term,header,high,3dc8a903e9bc961aefb632ae648feafe
Packaging,التعبئة,ABESTOL,term,header,high,9d4f76118c6a685409dbc02d4daafeee
Renal Impairment,الاعتلال الكلوي,ABESTOL,term,header,high,d85ecd9788bba9ab0b9e19fe798937e6
tablets,أقراص,ABESTOL,term,medical_term,high,2549d773aaab5a934b5bbecc3c7431c8
each tablet contains,يحتوي كل قرص على,ABESTOL,term,medical_term,high,248fd5610fc76f620d2eba3ff1d2270b
once daily,مرة واحدة يومياً,ABESTOL,term,medical_term,high,934392fbc3dd9c8b6d41f33742fb2819
store at room temperature,يحفظ في درجة حرارة الغرفة,ABESTOL,term,medical_term,high,933d05b6603c61484a5719db26f1237c
hypersensitivity,فرط التحسس,ABESTOL,term,medical_term,high,da543165b9eac1971070c74fc551ff85
allergic reaction,رد فعل تحسسي,ABESTOL,term,medical_term,high,79f094293e78f0e7346af27e5fb51cae
nausea,غثيان,ABESTOL,term,medical_term,high,1086ece7ff0f890bba32259e40ff779f
vomiting,إقياء,ABESTOL,term,medical_term,high,d81cd8c23772bfbad1002be47410b231
diarrhea,إسهال,ABESTOL,term,medical_term,high,01d8572b9c44c0d57ba907d5cf499ac2
constipation,إمساك,ABESTOL,term,medical_term,high,2c0bf97175c4149cca06543166054e73
dizziness,دوار,ABESTOL,term,medical_term,high,c2eb3a48aa11bfabe0a883b8d13ff543
headache,صداع,ABESTOL,term,medical_term,high,67b3910c85dc789d9d1fdbf33249d975
fatigue,تعب,ABESTOL,term,medical_term,high,e9f36e694f36a6514caf7a328ef2a2de
dry mouth,جفاف الفم,ABESTOL,term,medical_term,high,71bb4d21e308aed2c2779f7a345ae6bb
rash,طفح جلدي,ABESTOL,term,medical_term,high,1b6ee66ccc8804c50fe5d7ed588e9e30
swelling,وذمة,ABESTOL,term,medical_term,high,cab68fd87cf247435415b633f2d1b630
hypotension,انخفاض ضغط الدم,ABESTOL,term,medical_term,high,a1ef259a059e79f0f03be357f898185b
hypertension,ارتفاع ضغط الدم,ABESTOL,term,medical_term,high,5aa02376f52544a52d80f1db4c16caca
tachycardia,تسارع نبض القلب,ABESTOL,term,medical_term,high,5c5771db65eee49f0a0a48910e62e2d5
