en,ar,source
Composition & Excipients,التركيب والسواغات,ABESTOL
Composition,التركيب,ABESTOL
Clinical Pharmacology,الصيدلة السريرية,ABESTOL
Indications,الاستطبابات,ABESTOL
Dosage And Administration,الجرعة وطريقة الاستعمال,ABESTOL
Dosage,الجرعة,ABESTOL
Side Effects,الآثار الجانبية,ABESTOL
Warnings,التحذيرات,ABESTOL
Precautions,الاحتياطات,ABESTOL
Drug Interactions,التداخلات الدوائية,ABESTOL
Interactions,التداخلات,ABESTOL
Storage,التخزين,ABESTOL
Packaging,التعبئة,ABESTOL
Renal Impairment,الاعتلال الكلوي,ABESTOL
Composition & Excipients,التركيب,ABESTOL
Contraindications,مضادات,ABESTOL
Dosage and Administration,الجرعة,ABESTOL
Side Effects,الآثار,ABESTOL
Overdosage,فرط,ABESTOL
Overdosage,فرط الجرعة,AGILOMOX
Hepatic Impairment,الاعتلال الكبدي,AGILOMOX
Undesirable Effects,الآثار غير المرغوبة,AGILOMOX
Adverse Reactions,التفاعلات الضارة,ALOGLIPTIN
Pharmacokinetics,الحرائك,ALOGLIPTIN
Mechanism of Action,آلية,ALOGLIPTIN
Contraindications,مضادات الاستطباب,ALOGLIPTIN
Special Warnings,تحذيرات خاصة,ANTI-STONE
Presentation,التغليف,ARIPIPRAZOLE_HAMA_PHARMA
Pediatric Population,الأطفال,CIPROFLOXACIN_HAMA_PARMA
Posology And Method Of Administration,الجرعة وطريقة الاستعمال,FUROLACT
Effects On Ability To Drive,التأثير على القدرة على القيادة,KETOTIFEN_HAMA_PHARMA
Use In Pregnancy,الاستعمال خلال الحمل,METRONIDAZOLE_HAMA_PHARMA
Pharmacological Properties,الخصائص الصيدلانية,MULER
Overdosage/Toxicity,فرط الجرعة/السمية,PRICKSAGE
Use In Paediatric,الاستعمال عند الأطفال,PRICKSAGE
