en,ar,section
COMPOSITION & Excipients,التركيب والسواغات,header
MECHANISM OF ACTION,آلية التأثير,header
PHARMACOKINETICS,الحرائك الدوائية,header
INDICATIONS,الاستطبابات,header
CONTRAINDICATIONS,مضادات الاستطبابات,header
ADVERSE REACTIONS,ردود الفعل السلبية,header
DRUG INTERACTIONS,التداخلات الدوائية,header
WARNINGS and PRECAUTIONS,التحذيرات والاحتياطات,header
PREGNANCY and LACTATION,الحمل والإرضاع,header
DOSAGE and ADMINISTRATION,الجرعة وطريقة الاستعمال,header
OVERDOSAGE,فرط الجرعة,header
PACKAGING,التغليف,header
"3 blisters, each contains 10 Sustained-Release Capsules/ car-",كبسولات,dosage_form
Ö GEYÓΩ WÑ«Ö Gdàîójô bÑπ GELôGA Gdàîójô Gd©ÉΩ a» MÉ∫ Gd©Ó,جل,dosage_form
GdªôV°≈ Gdòjø jà∏≤ƒ¿ MÉd«Ék LôYá jƒe«á GELªÉd«á 081 e∏≠ Oj∏à«ÉRjº )céôYá 09 e∏≠,جل,dosage_form
