en,ar,section
Composition,التركيب,header
Excipients,السواغات,header
Mechanism of Action,آلية التأثير,header
Pharmacokinetics,الحرائك الدوائية,header
INDICATIONS,الاستطبابات,header
WARNINGS AND PRECAUTIONS,التحذيرات والاحتياطات,header
ADVERSE REACTIONS,ردود الفعل السلبية,header
DRUG INTERACTIONS,التداخلات الدوائية,header
Geriatric Use,الاستعمال عند كبار السن,header
DOSAGE AND ADMINISTRATION,الجرعة وطريقة الاستعمال,header
"Swallow THIS PRODUCT tablets whole and never crush, cut, or chew.",أقراص,dosage_form
tablets.,أقراص,dosage_form
Overdose,فرط الجرعة,header
overdose,فرط الجرعة,header
bi layered tablets.,أقراص,dosage_form
Film-coated extended release bi layered tablets,أقراص,dosage_form
