en,ar,section
Composition,التركيب,header
Excipients,السواغات,header
"tablet core: Pregelatinised maize starch, Maize starch, sodium laurilsulfate,",جل,dosage_form
Pharmacokinetics,الحرائك الدوائية,header
Indications,الاستطبابات,header
Contraindications,مضادات الاستطبابات,header
Warnings and Precautions,التحذيرات والاحتياطات,header
Side effects,الآثار الجانبية,header
2 tablets,أقراص,dosage_form
3 tablets,أقراص,dosage_form
4 tablets,أقراص,dosage_form
5 tablets,أقراص,dosage_form
Overdose,فرط الجرعة,header
"Packaging: 3 blister, each conatins 10 film-coated tablets\Carton box.",أقراص ملبسة بالفيلم,dosage_form
BY-TUBIN    Film coated tablets,أقراص ملبسة بالفيلم,dosage_form
