en,ar,section
COMPOSITION,التركيب,header
PHARMACOKINETICS,الحرائك الدوائية,header
Diclofenac in the enteric coated tablets is rapidly and completely absorbed after,أقراص,dosage_form
INDICATIONS,الاستطبابات,header
CONTRAINDICATIONS,مضادات الاستطبابات,header
SIDE EFFECTS,الآثار الجانبية,header
DRUG INTERACTIONS,التداخلات الدوائية,header
"tablets. Regardless of the indication, the dosage of diclofenac should be individualized",أقراص,dosage_form
daily dose is 150 mg. Diclofenac sodium should be taken with food and the tablets,أقراص,dosage_form
OVERDOSAGE,فرط الجرعة,header
20 enteric-coated tablets of 25 mg/carton box.,أقراص,dosage_form
20 enteric-coated tablets of 50 mg/carton box.,أقراص,dosage_form
20 enteric-coated tablets of 75 mg/carton box.,أقراص,dosage_form
STORAGE,شروط الحفظ,header
(ENTERIC-COATED TABLETS),أقراص,dosage_form
