المصطلح الإنجليزي,المصطلح العربي (من الملف)
**Rivaroxaban**,**ريفاروكسبان**
**Clopidogrel (as Hydrogen Sulphate)**,**كلوبيدوغريل (على شكل كبريتات الهيدروجين)**
**Aspirin**,**أسبرين**
**Diclofenac Sodium**,**ديكلوفيناك صوديوم**
**Diclofenac Potassium**,**ديكلوفيناك بوتاسيوم**
**Tramadol Hydrochloride**,**ترامادول هيدروكلوريد**
**Paracetamol**,**باراسيتامول**
**Linagliptin**,**ليناغليبتين**
**Armodafinil**,**أرمودافينيل**
**Clozapine**,**كلوزابين**
**Misoprostol**,**ميزوبروستول**
**Diltiazem Hydrochloride**,**ديلتيازيم هيدروكلوريد**
**Pizotifen (as Hydrogen Maleate)**,**بيزوتيفين (على شكل ماليات هيدروجين)**
**Ketotifen (as Hydrogen Fumarate)**,**كيتوتيفين (على شكل فومارات هيدروجين)**
**Pseudoephedrine Hydrochloride**,**سودوإيفيدرين هيدروكلوريد**
**Triprolidine Hydrochloride**,**تريبوليدين هيدروكلوريد**
**Oxomemazine**,**أوكسوميمازين**
**Guaifenesin**,**غوايفينيسين**
**Sodium Benzoate**,**بنزوات الصوديوم**
