en,ar,section
COMPOSITION,التركيب,header
EXCIPIENTS,السواغات,header
MECHANISM OF ACTION,آلية التأثير,header
PHARMACOKINETICS,الحرائك الدوائية,header
Following a single oral dose of 1000 mg (2 x 500 mg tablets) metformin,أقراص,dosage_form
oral doses of immediate-release metformin HCl tablets 850 mg,أقراص,dosage_form
INDICATIONS,الاستطبابات,header
CONTRAINDICATIONS,مضادات الاستطبابات,header
DOSAGE AND ADMINISTRATION,الجرعة وطريقة الاستعمال,header
12.5 mg/2.5 mg/1000 mg as two tablets together once daily.,أقراص,dosage_form
"Swallow THIS PRODUCT tablets whole. Do not split, crush, dissolve,",أقراص,dosage_form
SIDE EFFECTS,الآثار الجانبية,header
DRUG INTERACTIONS,التداخلات الدوائية,header
PRECAUTIONS,الاحتياطات,header
Renal Impairment,اعتلال كلوي,header
Hepatic Impairment,قصور كبدي,header
OVERDOSE,فرط الجرعة,header
PACKAGING,التغليف,header
… jëàƒ… Y∏≈ LôYá jƒe«á GELªÉd«á eªÉK∏á eø e«àØƒQe«ø g«óQhc∏ƒQGjó hLôYá jƒe«á,جل,dosage_form
GELªÉd«á eø GEeÑÉZ∏«ØƒRjø 01 e∏≠ hd«æÉZ∏«Ñà«ø 5 e∏≠.,جل,dosage_form
… jëàƒ… Y∏≈ LôYá jƒe«á GELªÉd«á eªÉK∏á,جل,dosage_form
â GELôGA Gdàü°ƒjô GdªàÑÉjø Gdª©Édè HÉd«ƒO GCh bÑ∏¬ dó,جل,dosage_form
eH©ó 84 S°ÉYá eø GELôGA Gdàü°ƒjô; GEYÉOI,جل,dosage_form
