en,ar,section
COMPOSITION,التركيب,header
MECHANISM OF ACTION,آلية التأثير,header
PHARMACOKINETICS,الحرائك الدوائية,header
INDICATIONS,الاستطبابات,header
DEFORCE film-coated tablets are used for the treatment of essential hypertension.,أقراص ملبسة بالفيلم,dosage_form
CONTRAINDICATIONS,مضادات الاستطبابات,header
SIDE EFFECTS,الآثار الجانبية,header
DRUG INTERACTIONS,التداخلات الدوائية,header
"receiving valsartan, amlodipine and HCTZ from separate tablets may be switched to",أقراص,dosage_form
OVERDOSAGE,فرط الجرعة,header
10 film-coated tablets in one blister/carton box.,أقراص ملبسة بالفيلم,dosage_form
30 film-coated tablets in 3 blisters/carton box.,أقراص ملبسة بالفيلم,dosage_form
(FILM-COATED TABLETS),أقراص ملبسة بالفيلم,dosage_form
Z†°ƒ¿ GCS°ÑƒY«ø H©ó GELôGA J¨««ô a» GdéôYÉä. Gdëó G’Cbü°≈ eø GdéôYá Gdªæü°ƒì H¡É gƒ 01/023/52e∏≠.,جل,dosage_form
