en,ar,section
COMPOSITION,التركيب,header
MECHANISM OF ACTION,آلية التأثير,header
PHARMACOKINETICS,الحرائك الدوائية,header
INDICATIONS,الاستطبابات,header
CONTRAINDICATIONS,مضادات الاستطبابات,header
SIDE EFFECTS,الآثار الجانبية,header
Hepatic impairment,قصور كبدي,header
DRUG INTERACTIONS,التداخلات الدوائية,header
Renal impairment,اعتلال كلوي,header
Hepatic impairment,قصور كبدي,header
OVERDOSE,فرط الجرعة,header
PACKAGING,التغليف,header
tablets.,أقراص,dosage_form
(FILM COATED TABLETS),أقراص ملبسة بالفيلم,dosage_form
"∫ Gdμ∏ƒ… Gdªàô¥ hGV°ëkÉ, aªø Gd†°ôhQ… GELôGA J≤««º Ob«≥ d∏©Ó",جل,dosage_form
Ö GELôGA Jëójó OhQ… d∏û°ƒGQO a» Gdªü°π a» aàôGä eæÉS°Ñá HÉdæù°Ñá ’C… eôj†¢ jà∏≤≈ YÓ,جل,dosage_form
