en,ar,section
COMPOSITION,التركيب,header
MECHANISM OF ACTION,آلية التأثير,header
INDICATIONS,الاستطبابات,header
CONTRAINDICATIONS,مضادات الاستطبابات,header
SIDE EFFECTS,الآثار الجانبية,header
"to toxicity (> 10 tablets) manifested by fatigue, irritability and",أقراص,dosage_form
dosage of 8 tablets per day may be used occasionally.,أقراص,dosage_form
of four tablets per day.,أقراص,dosage_form
of 3 tablets per day.,أقراص,dosage_form
– Diarrhea associated with Carcinoid Syndrome: 1–2 tablets,أقراص,dosage_form
30 film-coated tablets in 3 blisters.,أقراص ملبسة بالفيلم,dosage_form
(FilM CoATeD TAbleTs),أقراص ملبسة بالفيلم,dosage_form
