en,ar,section
COMPOSITION,التركيب,header
PHARMACOKINETICS,الحرائك الدوائية,header
INDICATIONS,الاستطبابات,header
CONTRAINDICATIONS,مضادات الاستطبابات,header
SIDE EFFECTS,الآثار الجانبية,header
FEDROLIDINE Tablets may cause drowsiness and impairment of performance.,أقراص,dosage_form
"in patients with normal blood pressure, FEDROLIDINE Tablets should be",أقراص,dosage_form
DRUG INTERACTIONS,التداخلات الدوائية,header
Concomitant use of FEDROLIDINE Tablets with alcohol or other central nervous,أقراص,dosage_form
"Concomitant use of FEDROLIDINE Tablets with: tricyclic antidepressants, other",أقراص,dosage_form
"partially reversed by the pseudoephedrine in FEDROLIDINE Tablets, eg.,",أقراص,dosage_form
OVERDOSAGE,فرط الجرعة,header
"The effects of acute toxicity from FEDROLIDINE Tablets may include drowsiness,",أقراص,dosage_form
"Two blisters, each contains 10 tablets/cartoon.",أقراص,dosage_form
(TABLETS),أقراص,dosage_form
Ö GC¿ jàº GELôGA Zù°«π d∏ª©óI Mà≈ 3,جل,dosage_form
ø GC¿ jµƒ¿ GELôGA bù°£ôI d∏ªãÉfá V°ôhQjÉk. ‘ H©†¢ G◊É’,جل,dosage_form
