en,ar,category,source,frequency
Acetaminophen,,active_ingredient,hama-pharma.com,1
Administration of a,,active_ingredient,hama-pharma.com,1
After administration of,,active_ingredient,hama-pharma.com,1
After an oral dose of,,active_ingredient,hama-pharma.com,1
After once daily dosing of,,active_ingredient,hama-pharma.com,1
After oral administration of a,,active_ingredient,hama-pharma.com,1
After single and repeated oral doses of,,active_ingredient,hama-pharma.com,1
"After the 
administration of",,active_ingredient,hama-pharma.com,1
Agomelatine,,active_ingredient,hama-pharma.com,2
Alogliptin is,,active_ingredient,hama-pharma.com,1
Alogliptin ranging from,,active_ingredient,hama-pharma.com,1
Although pregabalin was also studied at,,active_ingredient,hama-pharma.com,1
Although the administration of clopidogrel,,active_ingredient,hama-pharma.com,1
An initial dose of,,active_ingredient,hama-pharma.com,1
As initial therapy and in patients not adequately controlled on valsartan,,active_ingredient,hama-pharma.com,1
Aspirin,,active_ingredient,hama-pharma.com,5
At a dose of up to,,active_ingredient,hama-pharma.com,2
At doses of naproxen greater than,,active_ingredient,hama-pharma.com,1
At the maximum recommended clinical dose of,,active_ingredient,hama-pharma.com,1
"Chlorpheniramine 
maleate",,active_ingredient,hama-pharma.com,1
Chlorpheniramine maleate,,active_ingredient,hama-pharma.com,2
Ciprofloxacin,,active_ingredient,hama-pharma.com,1
"Cl and a 
total daily dose of empagliflozin",,active_ingredient,hama-pharma.com,1
Cl tablets,,active_ingredient,hama-pharma.com,1
"Clinical studies indicate that doses 
up to",,active_ingredient,hama-pharma.com,1
Complex equivalent to,,active_ingredient,hama-pharma.com,1
"Consider activated charcoal if an
adult presents within one hour of ingestion of more than",,active_ingredient,hama-pharma.com,1
Cystitis,,active_ingredient,hama-pharma.com,1
Depending upon severity of symptoms,,active_ingredient,hama-pharma.com,1
Dextromethorphane hydrobromide,,active_ingredient,hama-pharma.com,1
Diarrhea,,active_ingredient,hama-pharma.com,1
Diclofenac sodium may be administered as,,active_ingredient,hama-pharma.com,1
Dosage,,active_ingredient,hama-pharma.com,1
"Dosage 
may be increased gradually to",,active_ingredient,hama-pharma.com,1
"Dosage adjustments of up
to",,active_ingredient,hama-pharma.com,1
Dosage adjustments should occur gradually in increments of,,active_ingredient,hama-pharma.com,1
Dosages above,,active_ingredient,hama-pharma.com,3
"Dose adjustments of
up to",,active_ingredient,hama-pharma.com,1
Doses above,,active_ingredient,hama-pharma.com,2
Doses greater than,,active_ingredient,hama-pharma.com,1
Doses in excess of,,active_ingredient,hama-pharma.com,1
Doses of,,active_ingredient,hama-pharma.com,2
"Dosing 
may 
be 
adjusted based on effectiveness and tolerability while not exceeding the 
maximum recommended daily dose of",,active_ingredient,hama-pharma.com,1
Dosing should be initiated at,,active_ingredient,hama-pharma.com,1
Doza de linagliptin este de,,active_ingredient,hama-pharma.com,1
Each tablet contains,,active_ingredient,hama-pharma.com,1
Elemental iron,,active_ingredient,hama-pharma.com,1
Empagliflozin,,active_ingredient,hama-pharma.com,4
"Empagliflozine may be present even if blood glucose levels are less
than",,active_ingredient,hama-pharma.com,1
Empagliflozinee,,active_ingredient,hama-pharma.com,1
