en,ar,section
Excipients,السواغات,header
Pregelatinised,جل,dosage_form
Indications,الاستطبابات,header
Warnings and precautions,التحذيرات والاحتياطات,header
"• More than 12 tablets in 24 hours, which is the maximum daily",أقراص,dosage_form
Dosage and administration,الجرعة وطريقة الاستعمال,header
Adults and children 12 years and over: 2 tablets every 6 hours.,أقراص,dosage_form
Do not exceed 6 tablets in 24 hours or as directed by a doctor.,أقراص,dosage_form
"Packaging: 2 blisters, each contains 10 film-coated tablets/carton box.",أقراص ملبسة بالفيلم,dosage_form
(FILM-COATED TABLETS),أقراص ملبسة بالفيلم,dosage_form
HAMAPHARMA/LEAF/VOLU-GRIPPE (Film-Coated Tablets)  Size: (170x155 mm),أقراص ملبسة بالفيلم,dosage_form
