en,ar,section
Pharmacokinetics,الحرائك الدوائية,header
approximately 1 hour following oral administration of tablets in adults.,أقراص,dosage_form
Indications,الاستطبابات,header
Contraindications,مضادات الاستطبابات,header
Warnings and precautions,التحذيرات والاحتياطات,header
Drug interactions,التداخلات الدوائية,header
Undesirable effects,الآثار غير المرغوبة,header
Overdosage,فرط الجرعة,header
overdosage,فرط الجرعة,header
"Packaging: 2 blisters, each contains 10 tablets /carton box.",أقراص,dosage_form
PIZET  (Tablets),أقراص,dosage_form
HAMAPHARMA/LEAF/PIZET (Tablets)  Size: (210x160 mm),أقراص,dosage_form
Ö GELôGA GdàóGH«ô GdóGYªá hGd©ôV°«á.,جل,dosage_form
HAMAPHARMA/LEAF/PIZET (Tablets)  Size: (210x160 mm),أقراص,dosage_form
