en,ar,section
"Excipients: Mannitol, Pregelatinized starch, Corn starch, Copovidone, Crospovidone,",جل,dosage_form
MECHANISM OF ACTION,آلية التأثير,header
PHARMACOKINETICS,الحرائك الدوائية,header
INDICATIONS,الاستطبابات,header
CONTRAINDICATIONS,مضادات الاستطبابات,header
DOSAGE AND ADMINISTRATION,الجرعة وطريقة الاستعمال,header
SIDE EFFECTS,الآثار الجانبية,header
DRUG INTERACTIONS,التداخلات الدوائية,header
PRECAUTIONS,الاحتياطات,header
"PACKAGING: 3 blisters, each contains 10 film-coated tablets/carton box.",أقراص ملبسة بالفيلم,dosage_form
GLUCOBYE PLUS                    (Film-Coated Tablets),أقراص ملبسة بالفيلم,dosage_form
