en,ar,section
PHARMACOKINETICS,الحرائك الدوائية,header
INDICATIONS,الاستطبابات,header
theophyllin tablets are indicated for use in adults and children aged 6 years and,أقراص,dosage_form
CONTRAINDICATIONS,مضادات الاستطبابات,header
WARNINGS,التحذيرات,header
ADVERSE REACTIONS,ردود الفعل السلبية,header
DOSAGE AND ADMINISTRATION,الجرعة وطريقة الاستعمال,header
theophylline tablets should not be used in children below 6 years of age. Other dosage,أقراص,dosage_form
"These tablets must be swallowed whole and not broken, crushed or chewed as doing",أقراص,dosage_form
"the time the dose was due to be taken, the tablets can be taken straight away. The",أقراص,dosage_form
OVERDOSAGE,فرط الجرعة,header
PACKAGING,التغليف,header
"2 blisters, each contains 10 prolonged release tablets/carton box.",أقراص,dosage_form
(Prolonged - Release Tablets),أقراص,dosage_form
