en,ar,section
Composition: Each hard gelatin capsule contains:,جل,dosage_form
Pharmacokinetics,الحرائك الدوائية,header
Special Populations,المجموعات الخاصة,header
Warnings and Precautions,التحذيرات والاحتياطات,header
Undesirable Effects,الآثار غير المرغوبة,header
Dosing should begin at 2 capsules per day divided in two doses and may be,كبسولات,dosage_form
increased within 1 week based on efficacy and tolerability to a total of 4 capsules per,كبسولات,dosage_form
of pregabalin are not recommended. The maximum recommended dose is 4 capsules,كبسولات,dosage_form
"Packaging: 2 blisters, each contains 10 capsules/carton box.",كبسولات,dosage_form
PRECOBAL   (Capsules),كبسولات,dosage_form
– HAMAPHARMA/LEAF/PRECOBAL  (Capsules)          size (340 x 240 mm),كبسولات,dosage_form
