en,ar,section
MECHANISM OF ACTION,آلية التأثير,header
PHARMACOKINETICS,الحرائك الدوائية,header
INDICATIONS,الاستطبابات,header
CONTRAINDICATIONS,مضادات الاستطبابات,header
DOSAGE AND ADMINISTRATION,الجرعة وطريقة الاستعمال,header
"•	Swallow the product tablets whole. Do not split, crush, dissolve, or chew before swallowing.",أقراص,dosage_form
There have been reports of incompletely dissolved tablets being eliminated in the feces for other tablets,أقراص,dosage_form
"containing metformin hydrochloride. If a patient reports seeing tablets in feces, the healthcare provider",أقراص,dosage_form
WARNINGS AND PRECAUTIONS,التحذيرات والاحتياطات,header
ADVERSE REACTIONS,ردود الفعل السلبية,header
DRUG INTERACTIONS,التداخلات الدوائية,header
OVERDOSAGE,فرط الجرعة,header
"PACKAGING: 3 blisters, each contains 10 film-coated tablets/carton box.",أقراص ملبسة بالفيلم,dosage_form
DIATAMB PLUS               (film-coated tablets),أقراص ملبسة بالفيلم,dosage_form
