# مسرد: PRICKSAGE (أجوميلاتين 25 ملغ)
# المصدر: النشرة الدوائية — PRICKSAGE (Agomelatine 25mg) Film-Coated Tablets
# التاريخ: 2026-07-09

en,ar
"PRICKSAGE (Agomelatine 25mg) (Film-Coated Tablets)","بريكسيج (أقراص ملبسة بالفيلم) (أجوميلاتين ٢٥ ملغ)"
"Composition & Excipients: Each film-coated tablet contains Agomelatine 25 mg.","التركيب والسواغات: يحوي كل قرص ملبس بالفيلم على: أجوميلاتين ٢٥ ملغ."
"Mechanism of action: Agomelatine is a melatonergic agonist (MT1 and MT2 receptors) and 5-HT2C antagonist.","آلية التأثير: أجوميلاتين هو شاد المستقبلات الميلاتونين MT1 و MT2 وضاد المستقبلات 5-HT2C."
"Pharmacokinetics: Agomelatine is rapidly and well absorbed after oral administration.","الحرائك الدوائية: يمتص أجوميلاتين بشكل جيد وسريع بعد تناوله عن طريق الفم."
"Indications: PRICKSAGE is used for the treatment of major depressive episodes in adults.","الاستطبابات: يستخدم بريكسيج لمعالجة حوادث الاكتئاب الرئيسي عند البالغين."
"Contraindications: Hypersensitivity to the drug or its components.","مضادات الاستطبابات: فرط التحس للمادة الفعالة أو أي من مكونات الدواء."
"The most common adverse reactions were nausea and dizziness.","كانت ردود الفعل السلبية الأكثر شيوعا الغثيان والدوار."
"Monitoring of liver function: Cases of liver injury have been reported.","رصد وظائف الكبد: حالات إصابة الكبد... وقد تم الإبلاغ عنها."
"Dosage and Administration: The recommended dose is one tablet (25 mg) once daily taken orally at bedtime.","الجرعة وطريقة الاستعمال: الجرعة الموصى بها هي قرص في اليوم (٢٥ ملغ) تؤخذ قبل النوم."
"No dosage tapering is needed on treatment discontinuation.","لا حاجة لتخفيض الجرعة عند التوقف عن العلاج."
"Store away from humidity and direct light, in a place of a temperature between 15 -30° C.","شروط الحفظ: يحفظ بعيدا عن الرطوبة والضوء المباشر في مكان لا تتجاوز حرارته ٣٠ درجة."
