en,ar,section
– HAMAPHARMA/LEAF/CLOZAPINE HAMA PHARMA (Tablets) (Size: 270 x 240 mm),أقراص,dosage_form
"Pharmacokinetics:  In man, Clozapine tablets (25 mg and 100 mg)",أقراص,dosage_form
Indications,الاستطبابات,header
Contraindications,مضادات الاستطبابات,header
-  Severe Neutropenia: Clozapine tablets can cause neutropenia,أقراص,dosage_form
percentage of patients taking clozapine tablets and is associated,أقراص,dosage_form
-  Clozapine Tablets Treatment and Monitoring in the General Patient,أقراص,dosage_form
treatment with clozapine tablets to ensure the presence of a normal,أقراص,dosage_form
-  Clozapine Tablets Treatment and Monitoring in Patients with Benign,أقراص,dosage_form
For some patients who experience severe clozapine tablets-related,أقراص,dosage_form
clozapine tablets treatment may be greater than the risk of rechallenge,أقراص,dosage_form
options other than clozapine tablets). A hematology consultation,أقراص,dosage_form
neutropenia with clozapine tablets or a clozapine product. If a,أقراص,dosage_form
"clozapine tablets rechallenge, and the severity and characteristics",أقراص,dosage_form
If clozapine tablets are used concurrently with an agent known to,أقراص,dosage_form
"- Falls: Clozapine tablets may cause somnolence, postural hypotension,",أقراص,dosage_form
antipsychotics including clozapine tablets. Assessment of the,أقراص,dosage_form
tablets.Consider the possibility of pulmonary embolism in patients,أقراص,dosage_form
Drug Interactions,التداخلات الدوائية,header
"Packaging: (3) blisters, each contains 10 tablets /carton box.",أقراص,dosage_form
CLOZAPINE HAMA PHARMA (Tablets),أقراص,dosage_form
tablets while,أقراص,dosage_form
clozapine tablets,أقراص,dosage_form
tablets,أقراص,dosage_form
tablets dose.,أقراص,dosage_form
tablets dose,أقراص,dosage_form
tablets dose if necessary.,أقراص,dosage_form
tablets,أقراص,dosage_form
increase the clozapine tablets,أقراص,dosage_form
tablets dose,أقراص,dosage_form
increasing the clozapine tablets,أقراص,dosage_form
the clozapine tablets,أقراص,dosage_form
WARNINGS,التحذيرات,header
hGdëü°ƒ∫ Y∏≈ GELôGA J≤««º d∏≤∏Ö Yæó G’T°àÑÉ√ HôOhO GdØ©π gò√.,جل,dosage_form
Ö GELôGA J≤««º aƒQ… d©ÓeÉä hGCYôGV¢ QOhO,جل,dosage_form
….  GELôGA,جل,dosage_form
– HAMAPHARMA/LEAF/CLOZAPINE HAMA PHARMA (Tablets) (Size: 270 x 240 mm),أقراص,dosage_form
ê Hμ∏ƒRGHÚ hG◊ü°ƒ∫ Y∏≈ GELôGA,جل,dosage_form
