en,ar,section
– HAMAPHARMA/LEAF/Enalapril Plush Hama Pharma Tablets    (Q:300x155mm),أقراص,dosage_form
TABLETS,أقراص,dosage_form
COMPOSITION,التركيب,header
Pregelatinized starch.,جل,dosage_form
MECHANISM OF ACTION,آلية التأثير,header
PHARMACOKINETICS,الحرائك الدوائية,header
INDICATIONS,الاستطبابات,header
CONTRAINDICATIONS,مضادات الاستطبابات,header
ADVERSE REACTIONS,ردود الفعل السلبية,header
WARNINGS,التحذيرات,header
Drug interactions,التداخلات الدوائية,header
DOSAGE AND ADMINISTRATION,الجرعة وطريقة الاستعمال,header
The daily dosage should not exceed two tablets of this drug (10-25).,أقراص,dosage_form
OVERDOSAGE,فرط الجرعة,header
PRESENTATION,الشكل الصيدلي والتغليف,header
"a box of 3 blisters, each contains 10 tablets.",أقراص,dosage_form
STORAGE,شروط الحفظ,header
