en,ar,section
Pharmacokinetics,الحرائك الدوائية,header
Contraindications,مضادات الاستطبابات,header
Warnings and precautions,التحذيرات والاحتياطات,header
Undesirable effects,الآثار غير المرغوبة,header
should not be taken for the same attack. Sumatriptan tablets may be taken for,أقراص,dosage_form
Paediatric population: Sumatriptan tablets in children aged less than 10 years,أقراص,dosage_form
The efficacy and safety of Sumatriptan tablets in children 10 to 17 years of age,أقراص,dosage_form
"Therefore, the use of Sumatriptan tablets in children 10 to 17 years of age is not",أقراص,dosage_form
Elderly: Experience of the use of sumatriptan tablets in patients aged over,أقراص,dosage_form
"Packaging: 3 blisters, each contains 10 tablets/carton box.",أقراص,dosage_form
(Tablets),أقراص,dosage_form
"– HAMAPHARMA/LEAF/  Sumatriptan Hama Pharma (Tablets) Sumatriptan 25, 50, 100 mg    size (230x160mm)",أقراص,dosage_form
