en,ar,section
Composition & Excipients,التركيب والسواغات,header
Excipients,السواغات,header
Mechanism of action,آلية التأثير,header
PHARMACOKINETICS,الحرائك الدوائية,header
INDICATIONS,الاستطبابات,header
CONTRAINDICATIONS,مضادات الاستطبابات,header
"nearly all antibacterial agents, including ofloxacin tablets, and may range in severity from",أقراص,dosage_form
General: Prescribing ofloxacin tablets in the absence of a proven or strongly suspected,أقراص,dosage_form
"magnesium-based antacids, sucralfate or didanosine tablets or the paediatric powder for",أقراص,dosage_form
oral solution should not be taken within the 2-hour period before or within the 2-hour,محلول فموي,dosage_form
"That antibacterial drugs, including ofloxacin tablets, should only be used to treat",أقراص,dosage_form
"ofloxacin tablets are prescribed to treat a bacterial infection, patients should be told that",أقراص,dosage_form
tablets or other antibacterial drugs in the future.,أقراص,dosage_form
DRUG INTERACTIONS,التداخلات الدوائية,header
paediatric powder for oral solution may substantially interfere with the absorption of,محلول فموي,dosage_form
OVERDOSAGE,فرط الجرعة,header
"PACKAGING: 2 blisters, each contains 10 film-coated tablets/carton box.",أقراص ملبسة بالفيلم,dosage_form
(Film-Coated Tablets),أقراص ملبسة بالفيلم,dosage_form
