en,ar,source
Composition & Excipients: Each film-coated tablet contains Agomelatine 25 mg.,التركيب والسواغات: يحوي كل قرص ملبس بالفيلم على: أجوميلاتين ٢٥ ملغ.,pricksage_gemini
Mechanism of action: Agomelatine is a melatonergic agonist (MT1 and MT2 receptors) and 5-HT2C antagonist.,آلية التأثير: أجوميلاتين هو شاد المستقبلات الميلاتونين MT1 و MT2 وضاد المستقبلات 5-HT2C.,pricksage_gemini
Pharmacokinetics: Agomelatine is rapidly and well absorbed after oral administration.,الحرائك الدوائية: يمتص أجوميلاتين بشكل جيد وسريع بعد تناوله عن طريق الفم.,pricksage_gemini
Indications: PRICKSAGE is used for the treatment of major depressive episodes in adults.,الاستطبابات: يستخدم بريكسيج لمعالجة حوادث الاكتئاب الرئيسي عند البالغين.,pricksage_gemini
Contraindications: Hypersensitivity to the drug or its components.,مضادات الاستطبابات: فرط التحس للمادة الفعالة أو أي من مكونات الدواء.,pricksage_gemini
The most common adverse reactions were nausea and dizziness.,كانت ردود الفعل السلبية الأكثر شيوعا الغثيان والدوار.,pricksage_gemini
Monitoring of liver function: Cases of liver injury have been reported.,رصد وظائف الكبد: حالات إصابة الكبد... وقد تم الإبلاغ عنها.,pricksage_gemini
Dosage and Administration: The recommended dose is one tablet (25 mg) once daily taken orally at bedtime.,الجرعة وطريقة الاستعمال: الجرعة الموصى بها هي قرص في اليوم (٢٥ ملغ) تؤخذ قبل النوم.,pricksage_gemini
No dosage tapering is needed on treatment discontinuation.,لا حاجة لتخفيض الجرعة عند التوقف عن العلاج.,pricksage_gemini
"Store away from humidity and direct light, in a place of a temperature between 15 -30° C.",شروط الحفظ: يحفظ بعيدا عن الرطوبة والضوء المباشر في مكان لا تتجاوز حرارته ٣٠ درجة.,pricksage_gemini
"**Adverse reactions: Palpitation, tachycardia, hypotension, dizziness, headache, somnolence, nausea, vomiting, constipation, dry mouth**",**الآثار الجانبية: خفقان، تسارع القلب، انخفاض ضغط الدم، دوخة، صداع، نعاس، غثيان، قيء، إمساك، جفاف الفم**,side_effects
"**Adverse reactions: Diarrhea, sweating, pruritus, rash, urticaria, fatigue**",**الآثار الجانبية: إسهال، تعرق، حكة، طفح جلدي، شرى، إرهاق**,side_effects
"**Adverse reactions: Cardiovascular regulation (palpitation, tachycardia, postural hypotension or cardiovascular collapse)**",**الآثار الجانبية: تنظيم القلب والأوعية (خفقان، تسارع القلب، انخفاض ضغط الدم الوضعي أو وهط قلب وعائي)**,side_effects
"**Adverse reactions: Gastrointestinal irritation (a feeling of pressure in the stomach, bloating)**",**الآثار الجانبية: تهيج الجهاز الهضمي (شعور بالضغط في المعدة، انتفاخ)**,side_effects
"**The most commonly reported side-effects are: feeling of sickness, skin reddening, allergic reactions, shortness of breath, swollen facial features, and liver damage**",**كانت ردود الفعل السلبية الأكثر شيوعًا: شعور بالمرض، احمرار الجلد، ردود فعل تحسسية، ضيق في التنفس، تورم في الوجه، وتلف الكبد**,side_effects
"**Each film-coated tablet contains Rivaroxaban 2.5, 10, 15 or 20 mg**",**يحوي كل قرص ملبس بالفيلم ريفاروكسبان ٢.٥، ١٠، ١٥ أو ٢٠ ملغ**,updated_dosage_forms
**Each dispersible tablet contains Diclofenac Sodium 50 mg**,**يحوي كل قرص قابل للتشتت ديكلوفيناك صوديوم ٥٠ ملغ**,updated_dosage_forms
**Clopidogrel (as Hydrogen Sulphate) 75 mg / Aspirin 75 mg**,**كلوبيدوغريل (على شكل كبريتات الهيدروجين) ٧٥ ملغ / أسبرين ٧٥ ملغ**,updated_dosage_forms
**Clopidogrel (as Hydrogen Sulphate) 75 mg / Aspirin 100 mg**,**كلوبيدوغريل (على شكل كبريتات الهيدروجين) ٧٥ ملغ / أسبرين ١٠٠ ملغ**,updated_dosage_forms
**Clopidogrel (as Hydrogen Sulphate) 75 mg / Aspirin 150 mg**,**كلوبيدوغريل (على شكل كبريتات الهيدروجين) ٧٥ ملغ / أسبرين ١٥٠ ملغ**,updated_dosage_forms
