en,ar,section,type,source,confidence
Composition & Excipients,التركيب والسواغات,header,term,ABESTOL,high
Composition,التركيب,header,term,ABESTOL,high
Excipients,السواغات,gemini_curated,term,pricksage_gemini,very_high
Clinical Pharmacology,الصيدلة السريرية,header,term,ABESTOL,high
Indications,الاستطبابات,header,term,ABESTOL,high
Contraindications,مضادات الاستطبابات,gemini_curated,term,pricksage_gemini,very_high
Dosage And Administration,الجرعة وطريقة الاستعمال,header,term,ABESTOL,high
Dosage,الجرعة,header,term,ABESTOL,high
Side Effects,الآثار الجانبية,header,term,ABESTOL,high
Warnings,التحذيرات,header,term,ABESTOL,high
Precautions,الاحتياطات,header,term,ABESTOL,high
Drug Interactions,التداخلات الدوائية,header,term,ABESTOL,high
Interactions,التداخلات,header,term,ABESTOL,high
Storage,التخزين,header,term,ABESTOL,high
Packaging,التعبئة,header,term,ABESTOL,high
Renal Impairment,الاعتلال الكلوي,header,term,ABESTOL,high
tablets,أقراص,medical_term,term,ABESTOL,high
each tablet contains,يحتوي كل قرص على,medical_term,term,ABESTOL,high
once daily,مرة واحدة يومياً,medical_term,term,ABESTOL,high
store at room temperature,يحفظ في درجة حرارة الغرفة,medical_term,term,ABESTOL,high
hypersensitivity,فرط التحسس,medical_term,term,ABESTOL,high
allergic reaction,رد فعل تحسسي,medical_term,term,ABESTOL,high
nausea,غثيان,medical_term,term,ABESTOL,high
vomiting,إقياء,medical_term,term,ABESTOL,high
diarrhea,إسهال,medical_term,term,ABESTOL,high
constipation,إمساك,medical_term,term,ABESTOL,high
dizziness,دوار,medical_term,term,ABESTOL,high
headache,صداع,medical_term,term,ABESTOL,high
fatigue,تعب,medical_term,term,ABESTOL,high
dry mouth,جفاف الفم,medical_term,term,ABESTOL,high
rash,طفح جلدي,medical_term,term,ABESTOL,high
swelling,وذمة,medical_term,term,ABESTOL,high
hypotension,انخفاض ضغط الدم,medical_term,term,ABESTOL,high
hypertension,ارتفاع ضغط الدم,medical_term,term,ABESTOL,high
tachycardia,تسارع نبض القلب,medical_term,term,ABESTOL,high
bradycardia,بطء نبض القلب,medical_term,term,ABESTOL,high
