المصطلح الإنجليزي,المصطلح العربي,الفئة
**Agomelatine**,**أجوميلاتين**,مضاد اكتئاب
**Aripiprazole**,**أريبيبرازول**,مضاد ذهان
**Paracetamol / Acetaminophen**,**باراسيتامول**,مسكن وخافض حرارة
**Diclofenac Potassium**,**ديكلوفيناك بوتاسيوم**,مضاد التهاب غير ستيرويدي
**Diclofenac Sodium**,**ديكلوفيناك صوديوم**,مضاد التهاب غير ستيرويدي
**Tramadol Hydrochloride**,**ترامادول هيدروكلوريد**,مسكن أفيوني
**Armodafinil**,**أرمودافينيل**,منبه الجهاز العصبي المركزي
**Clozapine**,**كلوزابين**,مضاد ذهان غير نمطي
**Misoprostol**,**ميزوبروستول**,حامي المعدة
**Diltiazem Hydrochloride**,**ديلتيازيم هيدروكلوريد**,حاصر قنوات الكالسيوم
**Enalapril Maleate**,**ينالابريل مالات**,مثبط الإنزيم المحول للأنجيوتنسين
**Hydrochlorothiazide**,**هايدروكلوروثيازيد**,مدر بول ثيازيدي
**Spironolactone**,**سبيرونولاكتون**,مدر بول حافظ للبوتاسيوم
**Furosemide**,**فوروسمايد**,مدر بول عروي
**Metronidazole**,**مترونيدازول**,مضاد حيوي ومضاد أوليات
**Spiramycin**,**سبيرامايسين**,مضاد حيوي
**Oxomemazine**,**أوكسوميمازين**,مضاد هستامين
**Guaifenesin**,**غوايفينيسين**,طارد للبلغم
**Pseudoephedrine Hydrochloride**,**سودوإيفيدرين هيدروكلوريد**,مزيل احتقان
**Triprolidine Hydrochloride**,**تريبوليدين هيدروكلوريد**,مضاد هستامين
**Pizotifen (as Hydrogen Maleate)**,**بيزوتيفين (على شكل ماليات هيدروجين)**,مضاد هستامين
**Ketotifen (as Hydrogen Fumarate)**,**كيتوتيفين (على شكل فومارات هيدروجين)**,مضاد هستامين
**Vitamin C / Ascorbic Acid**,**فيتامين C / حمض الأسكوربيك**,فيتامين
**Vitamin B1 (Thiamine)**,**فيتامين B1 (ثيامين)**,فيتامين
**Vitamin B6 (Pyridoxine)**,**فيتامين B6 (بيريدوكسين)**,فيتامين
**Vitamin B12 (Cyanocobalamin)**,**فيتامين B12 (سيانوكوبالامين)**,فيتامين
**Zinc**,**زنك**,معدن
**المصطلح الإنجليزي**,**المصطلح العربي**,
**Film-Coated Tablets**,**أقراص ملبسة بالفيلم**,
**Tablets**,**أقراص**,
**Capsules**,**كبسولات**,
**Sustained-Release Capsules**,**كبسولات ممتدة المفعول**,
**Excipients**,**السواغات**,
**Microcrystalline Cellulose**,**السليلوز البلوري المجهري**,
**Lactose Monohydrate**,**لاكتوز أحادي الماء**,
**Magnesium Stearate**,**ستيرات المغنيسيوم**,
**Sodium Starch Glycolate**,**نشاء الصوديوم غليكولات**,
**Pregelatinized Starch**,**نشاء مسبق التجلط**,
**Corn Starch**,**نشاء الذرة**,
**HPMC (Hydroxypropyl Methylcellulose)**,**هيدروكسيبروبيل ميثيل سيلولوز**,
**Polysorbate 80**,**بوليسوربات ٨٠**,
**Carnauba Wax**,**شمع كارناوبا**,
**Iron Oxide Yellow/Red**,**أكسيد الحديد الأصفر/الأحمر**,
**Polyethylene Glycol**,**بولي إيثيلين غليكول**,
**Titanium Dioxide**,**ثاني أكسيد التيتانيوم**,
**Sodium Benzoate**,**بنزوات الصوديوم**,
**المصطلح الإنجليزي**,**المصطلح العربي**,
**Mechanism of Action**,**آلية التأثير**,
**Pharmacodynamics**,**الديناميكا الدوائية**,
**Pharmacokinetics**,**الحرائك الدوائية**,
**Absorption**,**الامتصاص**,
**Bioavailability**,**التوافر الحيوي**,
**Distribution**,**التوزيع**,
**Plasma Protein Binding**,**الارتباط ببروتينات البلازما**,
**Metabolism**,**الاستقلاب**,
**Elimination**,**الإطراح**,
**Half-life**,**نصف عمر**,
**Peak Plasma Concentration (Cmax)**,**التركيز الأقصى في البلازما**,
**Area Under Curve (AUC)**,**مساحة تحت المنحنى**,
**Blood-Brain Barrier**,**حاجز دم-دماغ**,
**Placental Barrier**,**حاجز المشيمة**,
**CYP3A4**,**CYP3A4**,
**CYP2D6**,**CYP2D6**,
**Enzyme Inhibitor**,**مثبط إنزيم**,
**Enzyme Inducer**,**محفز إنزيم**,
**Active Metabolite**,**مستقلب فعال**,
**O-desmethyl Derivative**,**مشتق منزوع الميثيل**,
**المصطلح الإنجليزي**,**المصطلح العربي**,
**Indications**,**استطبابات**,
**Contraindications**,**مضادات الاستطباب**,
**Side Effects / Adverse Reactions**,**الآثار الجانبية / ردود الفعل السلبية**,
**Hypersensitivity**,**فرط الحساسية**,
**Allergic Reactions**,**ردود فعل تحسسية**,
**Anaphylaxis**,**صدمة تحسسية**,
**Nausea**,**غثيان**,
**Vomiting**,**قيء**,
**Dizziness**,**دوار**,
**Headache**,**صداع**,
**Constipation**,**إمساك**,
**Diarrhea**,**إسهال**,
**Fatigue**,**إرهاق**,
**Insomnia**,**أرق**,
**Somnolence**,**نعاس**,
**Palpitation**,**خفقان**,
**Tachycardia**,**تسارع القلب**,
**Bradycardia**,**بطء القلب**,
**Hypotension**,**انخفاض ضغط الدم**,
**Hypertension**,**ارتفاع ضغط الدم**,
**Postural Hypotension**,**انخفاض ضغط الدم الوضعي**,
**Cardiovascular Collapse**,**وهط قلب وعائي**,
**Respiratory Depression**,**كبت التنفس**,
**Seizures / Convulsions**,**نوبات صرعية / اختلاجات**,
**Epilepsy**,**صرع**,
**Coma**,**غيبوبة**,
**Sedation**,**تهدئة**,
**Agitation**,**هياج**,
**Confusion**,**ارتباك**,
**Fever**,**حمى**,
**Sweating**,**تعرق**,
**Ataxia**,**ترنح**,
**Hyperreflexia**,**فرط المنعكسات**,
**Myoclonus**,**رمع عضلي**,
**Pruritus**,**حكة**,
**Rash**,**طفح جلدي**,
**Urticaria**,**شرى**,
**Dry Mouth**,**جفاف الفم**,
**Abdominal Pain**,**ألم بطني**,
**Bloating**,**انتفاخ**,
**Gastrointestinal Irritation**,**تهيج الجهاز الهضمي**,
**Miosis**,**تضييق حدقة العين**,
**Serotonin Syndrome**,**متلازمة السيروتونين**,
**Withdrawal Symptoms**,**أعراض الانسحاب**,
**Drug Dependence**,**اعتمادية دوائية**,
**Tolerance**,**تسامح**,
**Overdosage / Overdose**,**فرط الجرعة**,
**Intoxication**,**تسمم**,
**Acute Intoxication**,**تسمم حاد**,
**المصطلح الإنجليزي**,**المصطلح العربي**,
**Major Depressive Disorder**,**اضطراب اكتئابي كبير**,
**Schizophrenia**,**فصام**,
**Bipolar Disorder**,**اضطراب ثنائي القطب**,
**Manic Episode**,**نوبة هوسية**,
**Mixed Episode**,**نوبة مختلطة**,
**Autistic Disorder**,**اضطراب التوحد**,
**Tourette's Disorder**,**اضطراب توريت**,
**Sleep Disorders**,**اضطرابات النوم**,
**Osteoarthritis**,**التهاب المفاصل التنكسية**,
**Gastric Protection**,**حماية معدية**,
**Peptic Ulcer**,**قرحة هضمية**,
**Gastrointestinal Bleeding**,**نزف معدي معوي**,
**Perforation**,**انثقاب**,
**Severe Hepatic Impairment**,**قصور كبدي شديد**,
**Severe Renal Impairment**,**قصور كلوي شديد**,
