en,ar,section
COMPOSITION & EXCIPIENTS,التركيب والسواغات,header
MECHANISM OF ACTION,آلية التأثير,header
PHARMACOKINETICS,الحرائك الدوائية,header
Absorption: Absorption of diclofenac from Fast-Vol dispersible tablets sets in immediately after,أقراص,dosage_form
tablets. Mean peak plasma concentrations of about 1 micrograms/mL (3 micromole/L) are attained,أقراص,dosage_form
tablets together with or immediately after a meal does not delay the onset of absorption but reduces the,أقراص,dosage_form
INDICATIONS,الاستطبابات,header
DOSAGE AND ADMINISTRATION,الجرعة وطريقة الاستعمال,header
− The recommended initial daily dose is 2 to 3 dispersible tablets.,أقراص,dosage_form
"− In milder cases, 2 dispersible tablets daily are usually sufficient.",أقراص,dosage_form
"3 dispersible tablets. A dose of 1 to 2 tablets should be given initially and, if necessary, increased",أقراص,dosage_form
over the course of several menstrual cycles up to a maximum of 4 tablets daily. Treatment should,أقراص,dosage_form
"Paediatric population: Because of their dosage strength, Fast-Vol dispersible tablets are not recommended",أقراص,dosage_form
"tablets of Fast-Vol daily are usually sufficient, taken in separate doses.",أقراص,dosage_form
Fast-Vol dispersible tablets should preferably be taken before meals.,أقراص,dosage_form
Fast-Vol dispersible tablets should be dropped into a glass of water and the liquid stirred to aid dispersion,أقراص,dosage_form
it is advisable to rinse the glass with a small amount of water and swallow again. The dispersible tablets,أقراص,dosage_form
CONTRAINDICATIONS,مضادات الاستطبابات,header
WARNINGS AND PRECAUTIONS,التحذيرات والاحتياطات,header
UNDESIRABLE EFFECTS,الآثار غير المرغوبة,header
OVERDOSE,فرط الجرعة,header
"Packaging: 2 blisters, each contains 10 dispersible tablets/carton box.",أقراص,dosage_form
FAST-VOL    (Dispersible tablets),أقراص,dosage_form
