en,ar,section
Excipients,السواغات,header
Pharmacokinetics,الحرائك الدوائية,header
Indications,الاستطبابات,header
Contraindications,مضادات الاستطبابات,header
Side Effects,الآثار الجانبية,header
Warnings and Precautions,التحذيرات والاحتياطات,header
Drug Interactions,التداخلات الدوائية,header
Dosage and Administration,الجرعة وطريقة الاستعمال,header
Adults and Children over 12: 1 to 2 tablets every 4-6 hours. Do not,أقراص,dosage_form
"exceed 6 tablets in 24 hours, unless recommended by a physician.",أقراص,dosage_form
Overdose,فرط الجرعة,header
"Packaging: 2 blisters, each contains 10 bilayer film-coated tablets/carton box.",أقراص ملبسة بالفيلم,dosage_form
(Bilayer Film-Coated Tablets),أقراص ملبسة بالفيلم,dosage_form
∂ bÑπ GELôGA GC… J≤ü°«Éä Hƒd«á d∏ª©Édéá.,جل,dosage_form
∞ Yø GS°àîóGΩ gòG GdóhGA hGELôGA aëü¢ Y«æ» ^ hjæÑ¨» GELôGA GdØëü¢,جل,dosage_form
RjÉOI GdªôGbÑá hGELôGA J©ójπ Gdójé«àÉ∫ N,جل,dosage_form
