en,ar,section
(Film-Coated Tablets),أقراص ملبسة بالفيلم,dosage_form
Composition & Excipients,التركيب والسواغات,header
Pharmacokinetics,الحرائك الدوائية,header
Indications,الاستطبابات,header
Contraindications,مضادات الاستطبابات,header
Warnings and Precautions,التحذيرات والاحتياطات,header
Drug Interactions,التداخلات الدوائية,header
Adverse reactions,ردود الفعل السلبية,header
Dosage and administration,الجرعة وطريقة الاستعمال,header
For the film coated tablets:,أقراص ملبسة بالفيلم,dosage_form
"Recommended dosage: 1 to 3 film coated tablets per day, preferably administered",أقراص ملبسة بالفيلم,dosage_form
Overdose,فرط الجرعة,header
"Packaging: A carton box contains 2 Blisters (Al/ Al), each contains 10 tablets",أقراص,dosage_form
(20 tablets/carton box).,أقراص,dosage_form
