en,ar,section
Excipients: Pregelatinized  starch-colloidal  silicon dioxide -talc-Magnesium,جل,dosage_form
Mechanism of Action,آلية التأثير,header
Indications,الاستطبابات,header
Pharmacokinetics,الحرائك الدوائية,header
Warnings,التحذيرات,header
Contraindications,مضادات الاستطبابات,header
Drug interactions,التداخلات الدوائية,header
Undesirable effects,الآثار غير المرغوبة,header
Dosage and administration,الجرعة وطريقة الاستعمال,header
Overdose,فرط الجرعة,header
"Packaging: 3 blisters, each contains 10 Capsules /carton box.",كبسولات,dosage_form
TIBISTOP   (Capsules),كبسولات,dosage_form
