en,ar,section
DESCRIPTION,الوصف,header
PHARMACOKINETICS,الحرائك الدوائية,header
INDICATIONS,الاستطبابات,header
DOSAGE AND ADMINISTRATION,الجرعة وطريقة الاستعمال,header
-Loading dose: Four tablets of  Trombo-Stop 75 / 75 mg.,أقراص,dosage_form
CONTRAINDICATIONS,مضادات الاستطبابات,header
WARNINGS AND PRECAUTIONS,التحذيرات والاحتياطات,header
DRUG INTERACTIONS,التداخلات الدوائية,header
UNDESIRABLE EFFECTS,الآثار غير المرغوبة,header
OVERDOSAGE,فرط الجرعة,header
"PACKAGING: (2) blisters, each contains 10 film-coated tablets/carton box.",أقراص ملبسة بالفيلم,dosage_form
TROMBO-STOP  (Film-Coated Tablets),أقراص ملبسة بالفيلم,dosage_form
