en,ar,section
– HAMAPHARMA/LEAF/TRIODEF (Film-Coated Tablets)  (Size: 270 x 240 mm),أقراص ملبسة بالفيلم,dosage_form
Excipients: Calcium carbonate starch compound (Calcium carbonate 90% + Pregelatinized maize,جل,dosage_form
"anhydrous silica; Pregelatinized starch, Glycerol, Hypromelose, Macrogol, Titanium dioxide.",جل,dosage_form
MECHANISM OF ACTION,آلية التأثير,header
INDICATIONS,الاستطبابات,header
CONTRAINDICATIONS,مضادات الاستطبابات,header
WARNINGS AND PRECAUTIONS,التحذيرات والاحتياطات,header
UNDESIRABLE EFFECTS,الآثار غير المرغوبة,header
DOSAGE AND ADMINISTRATION,الجرعة وطريقة الاستعمال,header
"Packaging: 2 blisters, each contains 10 film-coated tablets/carton box.",أقراص ملبسة بالفيلم,dosage_form
TRIODEF   (Film-Coated Tablets),أقراص ملبسة بالفيلم,dosage_form
ê hGELôGA GdôU°ó GdªæÉS°Ö d†°ªÉ¿ RhG∫ cÉeπ dÓCYôGV¢ bÑπ U°ô,جل,dosage_form
ä JÉCb«á a» GdªôV°≈ Gdòjø jàº GELôGA Yª∏«á GdàëÉ∫ d¡º HÉS°àîóGΩ GCZû°«á YÉd«á Gdàóa≥ )c` 96,جل,dosage_form
"GdªôV°≈ Gdòjø j©Éfƒ¿ eø GdØû°π Gdμ∏ƒ…. cªÉ gƒ GdëÉ∫ e™ GC… YÉeπ NÉa†¢ d†°¨§ GdóΩ HÉdªû°ÉQcá e™ eóQ d∏Ñƒ∫, jæÑ¨» GELôGA eôGbÑá eæà¶ªá dªù°àƒjÉä",جل,dosage_form
dÓCfé«ƒJæù°«ø GC¿ Jμƒ¿ eØ«óI a» GdªôV°≈ Gdòjø j©Éfƒ¿ eø GQJØÉ´ V°¨§ GdóΩ Gdμ∏ƒ… GCh Gdòjø jæà¶ôh¿ GELôGA LôGMá Jü°ë«ë«á GCh YæóeÉ Jμƒ¿ gò√,جل,dosage_form
– HAMAPHARMA/LEAF/TRIODEF (Film-Coated Tablets)  (Size: 270 x 240 mm),أقراص ملبسة بالفيلم,dosage_form
