المصطلح الإنجليزي,المصطلح العربي (من الملف)
**Selective inhibitor of factor Xa (FXa)**,**مثبط انتقائي لعامل Xa**
**Does not require a cofactor (such as Anti-thrombin III) for activity**,**لا يتطلب عامل مساعد (مثل مضاد الثرومبين III) للنشاط**
**Inhibits free FXa and prothrombinase activity**,**يثبط عامل Xa الحر ونشاط البروثرومبيناز**
**Decreases thrombin generation**,**يقلل من توليد الثرومبين**
**No direct effect on platelet aggregation**,**لا تأثير مباشر على تجمع الصفيحات**
**Indirectly inhibits platelet aggregation induced by thrombin**,**يثبط بشكل غير مباشر تجمع الصفيحات المحفز بالثرومبين**
**Clopidogrel selectively inhibits the binding of adenosine diphosphate (ADP) to its platelet receptor**,**يثبط كلوبيدوغريل بشكل انتقائي ارتباط ثنائي فوسفات الأدينوزين (ADP) بمستقبلاته على الصفيحات**
**Inhibition of the cyclooxygenase enzyme**,**تثبيط إنزيم السيكلوأوكسيجيناز**
**Decreased formation of thromboxane A2**,**انخفاض تكوين الثرومبوكسان A2**
"**Non-steroidal compound with anti-rheumatic, anti-inflammatory, analgesic and antipyretic properties**",**مركب غير ستيرويدي ذو خصائص مضادة للروماتيزم، مضادة للالتهاب، مسكنة وخافضة للحرارة**
**Inhibition of prostaglandin biosynthesis**,**تثبيط تخليق البروستاغلاندين**
