المصطلح الإنجليزي,المصطلح العربي,السياق
**Agomelatine**,**أجوميلاتين**,مادة فعالة
**Aripiprazole**,**أريبيبرازول**,مادة فعالة
**Paracetamol / Acetaminophen**,**باراسيتامول**,مسكن للألم وخافض للحمى
**Diclofenac Potassium**,**ديكلوفيناك بوتاسيوم**,مضاد التهاب غير ستيرويدي
**Naproxen**,**نابروكسين**,مضاد التهاب غير ستيرويدي
**Esomeprazole**,**إيزوميبرازول**,مثبط مضخة البروتون
**Tramadol hydrochloride**,**ترامادول هيدروكلوريد**,مسكن أفيوني
**Spironolactone**,**سبيرونولاكتون**,مدر بول حافظ للبوتاسيوم
**Furosemide**,**فوروسمايد**,مدر بول عروي
**Enalapril maleate**,**ينالابريل مالات**,مثبط الإنزيم المحول للأنجيوتنسين
**Hydrochlorthiazide**,**هايدروكلوروثيازيد**,مدر بول ثيازيدي
**Metronidazole**,**مترونيدازول**,مضاد حيوي ومضاد أوليات
**Spiramycin**,**سبيرامايسين**,مضاد حيوي
**Vitamin C / Ascorbic Acid**,**فيتامين C / حمض الأسكوربيك**,فيتامين
**Vitamin B1 (Thiamine)**,**فيتامين B1 (ثيامين)**,فيتامين
**Vitamin B6 (Pyridoxine)**,**فيتامين B6 (بيريدوكسين)**,فيتامين
**Vitamin B12 (Cyanocobalamin)**,**فيتامين B12 (سيانوكوبالامين)**,فيتامين
**Zinc**,**زنك**,معدن
**Film-Coated Tablets**,**أقراص ملبسة بالفيلم**,شكل صيدلاني
**Tablets**,**أقراص**,شكل صيدلاني
**Excipients**,**السواغات**,مكونات غير فعالة
**Microcrystalline Cellulose**,**السليلوز البلوري المجهري**,سواغ
**Lactose monohydrate**,**لاكتوز أحادي الماء**,سواغ
**Magnesium stearate**,**ستيرات المغنيسيوم**,سواغ
**Maize starch**,**نشاء الذرة**,سواغ
**Mechanism of Action**,**آلية التأثير**,صيدلاني
**Pharmacokinetics**,**الحرائك الدوائية**,صيدلاني
**Absorption**,**الامتصاص**,حرائك دوائي
**Bioavailability**,**التوافر الحيوي**,حرائك دوائي
**Distribution**,**التوزيع**,حرائك دوائي
**Metabolism**,**الاستقلاب**,حرائك دوائي
**Elimination**,**الإطراح**,حرائك دوائي
**Peak plasma concentration**,**التركيز الأقصى في البلازما**,حرائك دوائي
**Half-life**,**نصف عمر**,حرائك دوائي
**Indications**,**استطبابات**,طبية
**Contraindications**,**مضادات الاستطباب**,طبية
**Side Effects / Adverse Reactions**,**الآثار الجانبية / ردود الفعل السلبية**,طبية
**Hypersensitivity**,**فرط الحساسية**,طبية
**Allergic reactions**,**ردود فعل تحسسية**,طبية
**Anaphylaxis**,**الصدمة التحسسية**,طبية
**Nausea**,**غثيان**,عرض جانبي
**Vomiting**,**قيء**,عرض جانبي
**Dizziness**,**دوار**,عرض جانبي
**Headache**,**صداع**,عرض جانبي
**Constipation**,**إمساك**,عرض جانبي
**Diarrhea**,**إسهال**,عرض جانبي
**Rash**,**طفح جلدي**,عرض جانبي
**Tremor**,**رعاش**,عرض جانبي
**Fatigue**,**إرهاق**,عرض جانبي
**Insomnia**,**أرق**,عرض جانبي
**Somnolence**,**نعاس**,عرض جانبي
**Anxiety**,**قلق**,عرض جانبي
**Akathisia**,**أكاثيزيا (اضطراب حركي)**,عرض جانبي
**Hypertension**,**ارتفاع ضغط الدم**,طبية
**Hypotension**,**انخفاض ضغط الدم**,طبية
**Tachycardia**,**خفقان القلب**,طبية
**Bradycardia**,**بطء القلب**,طبية
**Leukopenia**,**نقص الكريات البيضاء**,طبية
**Neutropenia**,**نقص العدلات**,طبية
**Agranulocytosis**,**نقص الكريات المحببة**,طبية
**Hepatic impairment**,**قصور كبدي / اعتلال كبدي**,طبية
**Renal impairment**,**اعتلال كلوي**,طبية
**Cardiovascular disease**,**أمراض قلبية وعائية**,طبية
**Cerebrovascular disease**,**أمراض دماغية وعائية**,طبية
**Dementia**,**خرف**,طبية
**Schizophrenia**,**فصام**,مرض نفسي
**Bipolar Disorder**,**اضطراب ثنائي القطب**,مرض نفسي
**Depression / Major Depressive Disorder**,**اكتئاب / اضطراب اكتئابي كبير**,مرض نفسي
**Manic episode**,**نوبة هوسية**,مرض نفسي
**Mixed episode**,**نوبة مختلطة**,مرض نفسي
**Autistic Disorder**,**اضطراب التوحد**,مرض نفسي
**Tourette's Disorder**,**اضطراب توريت**,مرض عصبي
**Seizures / Convulsions**,**نوبات صرعية / اختلاجات**,طبية
**Suicidal thoughts**,**أفكار انتحارية**,طبية
**Suicidality**,**سلوك انتحاري**,طبية
**Pregnancy**,**الحمل**,طبية
**Lactation / Nursing**,**الإرضاع**,طبية
**Pediatric population**,**الأطفال**,طبية
**Geriatric Use**,**استخدام للمسنين**,طبية
**Dosage and Administration**,**الجرعة وطريقة الاستعمال**,طبية
**Overdosage**,**فرط الجرعة**,طبية
**Toxicity**,**السمية**,طبية
**Drug Interactions**,**التداخلات الدوائية**,طبية
**CYP3A4 Inhibitors**,**مثبطات CYP3A4**,إنزيمات
**CYP3A4 Inducers**,**محفزات CYP3A4**,إنزيمات
**Antihypertensive Drugs**,**أدوية خافضة لضغط الدم**,طبية
**Benzodiazepines**,**بنزوديازيبينات**,طبية
**Antipsychotics**,**مضادات الذهان**,طبية
**Antidepressants**,**مضادات الاكتئاب**,طبية
**NSAIDs (Non-Steroidal Anti-Inflammatory Drugs)**,**مضادات الالتهاب غير الستيرويدية**,طبية
**Analgesics**,**مسكنات الألم**,طبية
**Diuretic**,**مدر للبول**,طبية
**Antioxidant**,**مضاد للأكسدة**,طبية
**Antibacterial**,**مضاد للبكتيريا**,طبية
**Central Acting Analgesic**,**مسكن الألم المركزي**,طبية
**Packaging**,**التعبئة**,صيدلاني
**Blister**,**بليستر**,تعبئة
**Carton box**,**علبة كرتون**,تعبئة
**Storage Conditions**,**شروط الحفظ**,صيدلاني
**Room temperature**,**درجة حرارة الغرفة**,حفظ
**Dry place**,**مكان جاف**,حفظ
**Keep away from light**,**يحفظ بعيدًا عن الضوء**,حفظ
**Keep away from humidity**,**يحفظ بعيدًا عن الرطوبة**,حفظ
**Manufactured by**,**تصنيع**,معلومات الشركة
**Medicament**,**دواء**,عام
**This is a medicament**,**هذا دواء**,تحذير
**Follow strictly the doctor’s prescription**,**اتباع تعليمات الطبيب بدقة**,تحذير
**Do not interrupt the treatment period**,**لا تقاطع فترة العلاج**,تحذير
**KEEP MEDICAMENTS OUT OF REACH OF CHILDREN**,**يحفظ الدواء بعيدًا عن متناول الأطفال**,تحذير
