en,ar,section
– HAMAPHARMA/LEAF/SOMATRA (Tablets)  (Size: 270 x 240 mm),أقراص,dosage_form
Excipients,السواغات,header
"10/60 tablets: Croscarmellose sodium, Dibasic calcium phosphate,",أقراص,dosage_form
"85/500 tablets: Croscarmellose sodium, Dextrose monohydrate,",أقراص,dosage_form
MECHANISM OF ACTION,آلية التأثير,header
PHARMACOKINETICS,الحرائك الدوائية,header
"orally is largely renally excreted (about 60%), with about",جل,dosage_form
INDICATIONS,الاستطبابات,header
CONTRAINDICATIONS,مضادات الاستطبابات,header
WARNINGS AND PRECAUTIONS,التحذيرات والاحتياطات,header
DOSAGE AND ADMINISTRATION,الجرعة وطريقة الاستعمال,header
"24-hour period is 2 tablets, taken at least 2 hours apart.",أقراص,dosage_form
"Packaging: 2 blisters, each contains 10 tablets/carton box.",أقراص,dosage_form
SOMATRA   (Tablets),أقراص,dosage_form
». GELôGA J≤««º d∏≤∏Ö hG’ChY«á,جل,dosage_form
"Ö GEj≤É± gòG Gdªù°àë†°ô Y∏≈ GdØƒQ, h GELôGA J≤««º S°ôjô…",جل,dosage_form
– HAMAPHARMA/LEAF/SOMATRA (Tablets)  (Size: 270 x 240 mm),أقراص,dosage_form
