en,ar,section
Composition,التركيب,header
Excipients,السواغات,header
"powdered cellulose, Pregelatinized corn starch, sodium starch",جل,dosage_form
Pharmacokinetics,الحرائك الدوائية,header
Indications,الاستطبابات,header
Tramadol/Paracetamol tablets are indicated for the symptomatic,أقراص,dosage_form
Contraindications,مضادات الاستطبابات,header
tablets,أقراص,dosage_form
Paracetamol 37.5 mg / 325 mg or 4 tablets of Tramadol/,أقراص,dosage_form
Drug interactions,التداخلات الدوائية,header
Adverse reactions,ردود الفعل السلبية,header
Dosage and administration,الجرعة وطريقة الاستعمال,header
An initial dose of two tablets of Tramadol/Paracetamol 37.5 mg /,أقراص,dosage_form
tablets of Tramadol/Paracetamol 37.5 mg / 325 mg per day.,أقراص,dosage_form
Overdosage,فرط الجرعة,header
"Packaging: 2 blisters, each contains 10 film-coated tablets/",أقراص ملبسة بالفيلم,dosage_form
TRAKINZA    (Film-coated tablets),أقراص ملبسة بالفيلم,dosage_form
