en,ar,section
COMPOSITION,التركيب,header
EXCIPIENTS,السواغات,header
"Lactose, Povidone (k 25), Pregelatinized maize starch, talc,",جل,dosage_form
"Hydroxypropylmethyl cellulose, lactose, Povidone (k 25), Pregelatinized",جل,dosage_form
"maize starch, talc, gelatin powder, cetostearyl alcohol, magnesium",جل,dosage_form
various aetiologies. Potassium chloride is present in the tablets to,أقراص,dosage_form
PHARMACOKINETICS,الحرائك الدوائية,header
INDICATIONS,الاستطبابات,header
preferably prior to or during a meal. The tablets should not be chewed,أقراص,dosage_form
CONTRAINDICATIONS,مضادات الاستطبابات,header
WARNINGS AND PRECAUTIONS,التحذيرات والاحتياطات,header
there is a risk of hyperkalaemia. This  Tablets should not be chewed,أقراص,dosage_form
DRUG INTERACTIONS,التداخلات الدوائية,header
UNDESIRABLE EFFECTS,الآثار غير المرغوبة,header
OVERDOSE,فرط الجرعة,header
PACKAGING,التغليف,header
tablets/Carton box.,أقراص,dosage_form
(Bilayer controlled release Film coated tablets),أقراص ملبسة بالفيلم,dosage_form
– HAMAPHARMA/LEAF/Furopot F.C. Tablets         SIZE: (138x160 mm),أقراص,dosage_form
: H©ó GEL,جل,dosage_form
: H©ó GEL,جل,dosage_form
– HAMAPHARMA/LEAF/Furopot F.C. Tablets         SIZE: (138x160 mm),أقراص,dosage_form
