en,ar,section
Excipients,السواغات,header
Pharmacokinetics,الحرائك الدوائية,header
Contraindications,مضادات الاستطبابات,header
Undesirable effects,الآثار غير المرغوبة,header
Warnings and precautions,التحذيرات والاحتياطات,header
• Vitamin D Tablets should be used with caution in patients with,أقراص,dosage_form
Drug Interactions,التداخلات الدوائية,header
Dosage and administration,الجرعة وطريقة الاستعمال,header
CHOLVIT 5000 IU (Tablets):,أقراص,dosage_form
CHOLVIT 50000 IU (Film-Coated Tablets):,أقراص ملبسة بالفيلم,dosage_form
Presentation,الشكل الصيدلي والتغليف,header
CHOLVIT 5000 IU (Tablets):,أقراص,dosage_form
"2 Alu/Alu blisters, each contains 10 tablets/carton box.",أقراص,dosage_form
CHOLVIT 50000 IU (Film-Coated Tablets):,أقراص ملبسة بالفيلم,dosage_form
1 Alu/Alu blister contains 10 tablets/carton box.,أقراص,dosage_form
VITAMIN D3 (COLECALCIFEROL) 5000 IU (Tablets),أقراص,dosage_form
VITAMIN D3 (COLECALCIFEROL) 50000 IU (Film-Coated Tablets),أقراص ملبسة بالفيلم,dosage_form
– HAMAPHARMA/LEAF/CHOLVIT (Tablets)       Size (230x160mm),أقراص,dosage_form
