المصطلح الإنجليزي,المصطلح العربي
Phenobarbital,فينوباربيتال
Tablets,أقراص
Composition,التركيب
Excipients,السواغات
Calcium stearate,ستيترات الكالسيوم
Corn starch,نشاء الذرة
Anhydrous lactose,لاكتوز لامائي
Magnesium stearate,ستيترات المغنيسيوم
Colloidal silicon dioxide,ثاني أوكسيد السيليكون الغرويدي
Microcrystalline cellulose,ميكروكريستالين سللوز
Sodium starch glycolate,غليكوات النشاء الصودية
Sodium docusate,صوديوم دوكوسات
Lactose monohydrate,لاكتوز مونوهيدرات
Mechanism of action,آلية التأثير
Long-acting barbiturate,مركب باربيتوري طويل المفعول
Central nervous system depressant,مثبط للجملة العصبية المركزية
Sedative,مهدئ
Anticonvulsant,مضاد للاختلاج
Pharmacokinetics,الحركية الدوائية
Onset of action,بداية التأثير
Duration of action,مدة التأثير
Liver,الكبد
Indications,الاستطبابات
Contraindications,مضادات الاستطباب
Hypersensitive,فرط الحساسية
Side effects,التأثيرات الجانبية
CNS Depression,تثبيط الجهاز العصبي المركزي
Sedation,تهدئة
Drowsiness,نعاس
Lethargy,خمول
Vertigo,دوار
Dosage and Administration,الجرعة وطريقة الاستعمال
Overdose,فرط الجرعة
Barbiturate poisoning,التسمم بالباربيتورات
Cardiovascular system,الجملة القلبية الوعائية
Presentation,التعبئة
Blisters,أشرطة بليستر
Storage,شروط الحفظ
Room temperature,درجة حرارة الغرفة
Moisture,الرطوبة
