المصطلح الإنجليزي,المصطلح العربي (من الملف)
**Anticoagulant**,**مضاد تخثر**
**Reduction in the risk of stroke and systemic embolism in patients with non-valvular atrial fibrillation**,**تقليل خطر السكتة الدماغية والانسداد الجهازي لدى مرضى الرجفان الأذيني غير الصمامي**
**Treatment of Deep Vein Thrombosis (DVT)**,**علاج خثار الوريد العميق**
**Treatment of Pulmonary Embolism (PE)**,**علاج الانسداد الرئوي**
**Reduction in the risk of recurrence of DVT and PE**,**تقليل خطر تكرر خثار الوريد العميق والانسداد الرئوي**
**Prophylaxis of Deep Vein Thrombosis following Hip or Knee replacement surgery**,**الوقاية من خثار الوريد العميق بعد جراحة استبدال مفصل الورك أو الركبة**
**Reduction of Risk of Major Cardiovascular Events in Chronic Coronary Artery Disease (CAD) or Peripheral Artery Disease (PAD)**,**تقليل خطر الأحداث القلبية الوعائية الكبرى في مرض الشريان التاجي المزمن أو مرض الشريان المحيطي**
"**Prevention of ischemic events, myocardial infarction, stroke and cardiovascular death in patients with Acute Coronary Syndrome (ACS)**",**الوقاية من الأحداث الإفقارية، احتشاء عضلة القلب، السكتة الدماغية، والوفاة القلبية الوعائية لدى مرضى متلازمة الشريان التاجي الحادة**
**Unstable angina (UA)**,**ذبحة غير مستقرة**
**Non-ST elevation myocardial infarction (NSTEMI)**,**احتشاء عضلة القلب بدون ارتفاع القطعة ST**
**ST-segment elevation acute myocardial infarction (STEMI)**,**احتشاء عضلة القلب مع ارتفاع القطعة ST**
**Post-operative inflammation and pain**,**التهاب وألم ما بعد الجراحة**
**Sprains**,**الالتواء**
**Flare-up of osteoarthritis**,**تفاقم التهاب المفاصل التنكسية**
**Acute attacks of gout**,**نوبات حادة من النقرس**
**Non-articular rheumatism**,**الروماتيزم غير المفصلي**
**Painful syndromes of the vertebral column**,**متلازمات مؤلمة في العمود الفقري**
**Painful and/or inflammatory conditions in gynaecology**,**الحالات المؤلمة و/أو الالتهابية في طب النساء**
**Primary dysmenorrhoea**,**عسر طمث أولي**
**Adnexitis**,**التهاب الملحقات**
**Pharyngotonsillitis**,**التهاب البلعوم واللوزتين**
**Otitis**,**التهاب الأذن الوسطى**
**Treatment of moderate to severe pain**,**علاج الألم المتوسط إلى الشديد**
**Sleep disorders**,**اضطرابات النوم**
**Central Acting Analgesic**,**مسكن ألم مركزي التأثير**
"**Anti-bacterial, Gingivitis**",**مضاد بكتيري، التهاب اللثة**
**Antidiabetic**,**مضاد السكري**
