en,ar,category
abacavir,أباكافير,"Taxonomy, nosology and classification"
abacterial,لاجُرْثُوميّ,Bacteriology
abalienation,جُنون، عَتَه,Psychiatry and Psychology
abandonment of care,التَّخَلِّي عَن رِعاية (المَريض),"Nursing, midwifery and tocology"
abapical,مُبْتَعِدٌ عن الذِّرْوَة,common entries
abarelix,أَباريليكس,Pharmacology and therapeutics
abasia,تعذر المشي,Biology
abatacept,أباتاسيبت,"Taxonomy, nosology and classification"
abatement,تخفيف,"Public health, community medicine and hygiene"
abatement,خمود,Biology
abatic,متعلِّق أو مصاب بتَعَذُّرِ المَشْي,Common entries
abatment,خمود,Diagnostics(symptoms&signs)
abbreviated,مُخْتَصَر,Surgery
abbreviated laparotomy,بضع البطن المُخْتَصَر,Surgery
abciximab,أَباسِكْزيماب,Pharmacology and therapeutics
abdicate,تنازُل,Family and community medicine
abdominal,بطني,Biology
abdominal adhesion,الْتِصاقٌ بَطْني,Surgery
abdominal adiposity,بدانة بطنية,Nutrition and dietetics
abdominal airsac,كيس هوائى بطنى,Biology
abdominal aortic aneurysm,أُمّ دمّ الأبهر البطني,
abdominal aortic aneurysm (AAA),أُمِّ دَمِ الأبْهَر البَطْنِي,Cardiology and cadiovascular surgery
abdominal arteries,الشَّرايينُ البَطْنيَّة,Anatomy
abdominal breathing,تنفُّسٌ بَطْنِيٌّ,Physiology
abdominal compartment,حجرة بطنيّة,Surgery
abdominal cramping,مغص بطنيّ,Surgery
abdominal distension,توسع البطن,Gastroenterology
abdominal distention,توسُّع البطن,Surgery
abdominal dressing,تضميد البطن,Surgery
abdominal examination,فَحْصُ البَطْن,Common entries
abdominal exploration,استقصاء البطن,Surgery
abdominal fascia,اللِّفافةُ البَطْنيَّة,Anatomy
abdominal gestation,حَمْلٌ بَطْني,Obstetrics and gynecology
abdominal girth,مَقاسُ محيطِ البَطْن,Anatomy
abdominal hernia,فَتْقٌ بَطْنِيٌّ,surgery
abdominal inguinal ring,الحلقةُ الأُرْبِيَّة البَطْنيَّة,anatomy
abdominal migraine,الشَّقِيقة البطنية,Neurology
abdominal muscles,عَضلاتُ البَطْن,anatomy
abdominal myomectomy,استئصال ورم رحمي بطريق البطن,Oncology
abdominal nerves,أَعْصابٌ بَطْنيَّة,anatomy
abdominal pain,ألمٌ بَطْني,Diagnostics(symptoms&signs)
abdominal Pore,ثقب بطنى,Biology
abdominal pressure,الضَّغْطُ البَطْني,Physiology
abdominal prevertebral plexus,الضَّفيرَةُ البطنيَّة أَمامَ الفِقار,anatomy
abdominal prosthetic,تعويضات بدلية بطنية,Rehabilitation
abdominal quadrant,رُبْعٌ بَطْني,anatomy
abdominal reflex,مُنْعَكَسٌ بَطْنِيٌّ,Physiology
