en,ar,section
Composition & Excipients,التركيب والسواغات,header
Mechanism of Action,آلية التأثير,header
Indications,الاستطبابات,header
Contraindications,مضادات الاستطبابات,header
Urolithiasis and crystalluria: 2 tablets twice daily.,أقراص,dosage_form
"Urinary infections: 2 tablets twice daily, for 1 to 2 weeks,",أقراص,dosage_form
Drug interactions,التداخلات الدوائية,header
Special warnings,تحذيرات خاصة,header
Packaging,التغليف,header
10 film-coated tablets/carton box.,أقراص ملبسة بالفيلم,dosage_form
(Film-Coated Tablets),أقراص ملبسة بالفيلم,dosage_form
HAMAPHARMA/LEAF/ANTI-STONE (Film-Coated Tablets)   Size: (138 x 160 mm),أقراص ملبسة بالفيلم,dosage_form
