en,ar,section
Excipients,السواغات,header
Pharmacokinetics,الحرائك الدوائية,header
Special Populations,المجموعات الخاصة,header
Hepatic Impairment,قصور كبدي,header
Warnings and Precautions,التحذيرات والاحتياطات,header
Pregnancy and Lactation,الحمل والإرضاع,header
Dosage and administration,الجرعة وطريقة الاستعمال,header
Duration of treatment: The film-coated tablets are intended for acute pain,أقراص ملبسة بالفيلم,dosage_form
with Tapentadol prolonged release tablets should be considered.,أقراص,dosage_form
Packaging: 3 blisters، each contains 10 film-coated tablets of PLEXADOL.,أقراص ملبسة بالفيلم,dosage_form
(FILM-COATED TABLETS),أقراص ملبسة بالفيلم,dosage_form
