en,ar,section
– HAMAPHARMA/LEAF/POSACAR (Delayed-Release Film-Coated Tablets)  (Size: 290 x 160 mm),أقراص ملبسة بالفيلم,dosage_form
Each delayed-release film-coated tablets contains: Posaconazole 100 mg.,أقراص ملبسة بالفيلم,dosage_form
Excipients,السواغات,header
PHARMACOKINETICS,الحرائك الدوائية,header
"Absorption: When given orally in healthy volunteers, the delayed-release tablets",أقراص,dosage_form
"concentrations, posaconazole delayed-release tablets should be administered",أقراص,dosage_form
INDICATIONS,الاستطبابات,header
• Posaconazole delayed-release tablets are indicated in patients 13 years of age,أقراص,dosage_form
DOSAGE AND ADMINISTRATION,الجرعة وطريقة الاستعمال,header
tablets.,أقراص,dosage_form
"o  Swallow tablets whole. Do not divide, crush, or chew. Administer Posaconazole",أقراص,dosage_form
delayed-release tablets with food to enhance the oral absorption of posacona-,أقراص,dosage_form
o  The delayed-release tablets should be used only for the prophylaxis indication.,أقراص,dosage_form
The delayed-release tablets generally provide higher plasma drug exposures,أقراص,dosage_form
"than the oral suspension under both fed and fasted conditions, and therefore",معلق,dosage_form
"ing Posaconazole delayed-release tablets, an alternative antifungal therapy",أقراص,dosage_form
o  Posaconazole delayed-release tablets and oral suspension are not to be used,أقراص,dosage_form
of Posaconazole delayed-release tablets are not significantly affected by renal,أقراص,dosage_form
CONTRAINDICATIONS,مضادات الاستطبابات,header
WARNINGS AND PRECAUTIONS,التحذيرات والاحتياطات,header
tablets have been established in the age groups 13 to 17 years of age. The safety,أقراص,dosage_form
DRUG INTERACTIONS,التداخلات الدوائية,header
"delayed-release tablets are concomitantly used with antacids, H2-receptor",أقراص,dosage_form
delayed-release tablets is required when it is used concomitantly with these drugs.,أقراص,dosage_form
with posaconazole delayed-release tablets did not affect the pharmacokinetics of,أقراص,dosage_form
Clinical Trial Experience with Posaconazole Delayed-Release Tablets:,أقراص,dosage_form
OVERDOSAGE,فرط الجرعة,header
There is no experience with overdosage of posaconazole delayed-release tablets.,أقراص,dosage_form
"During the clinical trials, some patients received posaconazole oral suspension",معلق,dosage_form
1200 mg BID posaconazole oral suspension for 3 days. Posaconazole is not,معلق,dosage_form
Packaging,التغليف,header
"2 blisters, each contains 10 delayed-release film-coated tablets/carton box.",أقراص ملبسة بالفيلم,dosage_form
POSACAR   (Delayed-Release Film-Coated Tablets),أقراص ملبسة بالفيلم,dosage_form
Loading dose: 300 mg (three 100 mg delayed-release tablets),أقراص,dosage_form
"tablets) once a day, starting on the second day. Duration of therapy",أقراص,dosage_form
Ö GELôGA,جل,dosage_form
", j≤àôì GC¿ jàº GELôGA eôGbÑá Ob«≤á dëóh",جل,dosage_form
Ö GELôGA eôGbÑá eàμôQI,جل,dosage_form
Ö GELôGA eôGbÑá eàμôQI dμÉeπ JôGc«õ Gdù°«μ∏ƒS°ÑƒQjø,جل,dosage_form
Ö GELôGA eôGbÑá eàμôQI dÓBKÉQ Gd†°ÉQI hS°ª«á GdôjàƒfÉa«ô h GCJÉRGfÉa«ô GCKæÉA G’S°àîóGΩ GdªàõGeø,جل,dosage_form
Ö GEL˘ôGA Gd˘ª˘ôGb˘Ñ˘á Gd˘ób˘«˘≤˘á d˘à˘ôGc˘«˘õ Gd˘Ø˘«˘æ˘«˘àƒF«ø hJîØ«†¢ LôYá,جل,dosage_form
– HAMAPHARMA/LEAF/POSACAR (Delayed-Release Film-Coated Tablets)  (Size: 290 x 160 mm),أقراص ملبسة بالفيلم,dosage_form
