en	ar	section	type	source
INDICATIONS	الاستطبابات	HEADER	term	abestol
DOSAGE AND ADMINISTRATION	الجرعة وطريقة الاستعمال	HEADER	phrase	abestol
DRUG INTERACTIONS	التداخلات الدوائية	HEADER	term	abestol
WARNINGS	التحذيرات	HEADER	term	abestol
PRECAUTIONS	الاحتياطات	HEADER	term	abestol
Packaging: 2 blisters, each contains 10 tablets/carton box.	أقراص	DOSAGE_FORM	sentence	abestol
ABESTOL (Tablets)	أقراص	DOSAGE_FORM	term	abestol
Mechanism of Action	آلية التأثير	HEADER	phrase	agilomox
Contraindications	مضادات الاستطبابات	HEADER	term	agilomox
Overdosage	فرط الجرعة	HEADER	term	agilomox
(TABLETS)	أقراص	DOSAGE_FORM	term	agilomox
Composition	التركيب	HEADER	term	alogliptin
Excipients	السواغات	HEADER	term	alogliptin
Side Effects	الآثار الجانبية	HEADER	term	alogliptin
Warnings and Precautions	التحذيرات والاحتياطات	HEADER	phrase	alogliptin
Packaging: 3 blisters, each contains 10 film-coated tablets/carton box.	أقراص ملبسة بالفيلم	DOSAGE_FORM	sentence	alogliptin
Composition & Excipients	التركيب والسواغات	HEADER	phrase	anti-stone
Urolithiasis and crystalluria: 2 tablets twice daily.	أقراص	DOSAGE_FORM	sentence	anti-stone
Urinary infections: 2 tablets twice daily, for 1 to 2 weeks,	أقراص	DOSAGE_FORM	sentence	anti-stone
Special warnings	تحذيرات خاصة	HEADER	term	anti-stone
Packaging	التغليف	HEADER	term	anti-stone
10 film-coated tablets/carton box.	أقراص ملبسة بالفيلم	DOSAGE_FORM	phrase	anti-stone
(Film-Coated Tablets)	أقراص ملبسة بالفيلم	DOSAGE_FORM	phrase	anti-stone
(Capsules)	كبسولات	DOSAGE_FORM	term	anti-tussive_hama_pharma
Adult: 1-2 capsules thrice daily.	كبسولات	DOSAGE_FORM	phrase	anti-tussive_hama_pharma
20 capsule in 2 blisters, each blister contains 10 capsules/Cartoon.	كبسولات	DOSAGE_FORM	sentence	anti-tussive_hama_pharma
STORAGE	شروط الحفظ	HEADER	term	anti-tussive_hama_pharma
Pharmacokinetics	الحرائك الدوائية	HEADER	term	aripiprazole_hama_pharma
Adverse reactions	ردود الفعل السلبية	HEADER	phrase	arthrobye
For the film coated tablets:	أقراص ملبسة بالفيلم	DOSAGE_FORM	phrase	arthrobye
Recommended dosage: 1 to 3 film coated tablets per day, preferably administered	أقراص ملبسة بالفيلم	DOSAGE_FORM	sentence	arthrobye
Overdose	فرط الجرعة	HEADER	term	arthrobye
