النص الإنجليزي,النص العربي المقابل
**TRAMADOL HAMA PHARMA (Film-Coated Tablets) (Tramadol Hydrochloride 50 mg)**,**ترامادول هاما فارما (أقراص ملبسة بالفيلم) (ترامادول هيدروكلوريد ٥٠ ملغ)**
"**NODEMENT (Armodafinil 50 mg, 150 mg, 250 mg) (Tablets)**",**نوديمينت (أرمودافينيل ٥٠ ملغ، ١٥٠ ملغ، ٢٥٠ ملغ) (أقراص)**
**CLOZAPINE HAMA PHARMA (Tablets)**,**كلوزابين هاما فارما (أقراص)**
**FEM-RELIEVE (Film-Coated Tablets)**,**فيم-ريليف (أقراص ملبسة بالفيلم)**
**VITOREX (Pizotifen 0.5 mg) (Capsules)**,**فيتوركس (بيزوتيفين ٠.٥ ملغ) (كبسولات)**
**KETOTIFEN HAMA PHARMA (Ketotifen 1 mg as Hydrogen Fumarate) (Tablets)**,**كيتوتيفين هاما فارما (كيتوتيفين ١ ملغ على شكل فومارات هيدروجين) (أقراص)**
**ULCER-STOP (Misoprostol 200 µg) (Tablets)**,**ألكر-ستوب (ميزوبروستول ٢٠٠ ميكروجرام) (أقراص)**
"**DILTIAZEM HAMA PHARMA (Diltiazem hydrochloride 60 mg, 90 mg, 120 mg, 180 mg) (Tablets)**",**ديلتيازيم هاما فارما (ديلتيازيم هيدروكلوريد ٦٠ ملغ، ٩٠ ملغ، ١٢٠ ملغ، ١٨٠ ملغ) (أقراص)**
**ANTI-TUSSIVE (Oxomemazine 1.65 mg + Paracetamol 33.3 mg + Sodium benzoate 33.3 mg + Guaifenesin 33.3 mg)**,**مضاد السعال (أوكسوميمازين ١.٦٥ ملغ + باراسيتامول ٣٣.٣ ملغ + بنزوات الصوديوم ٣٣.٣ ملغ + غوايفينيسين ٣٣.٣ ملغ)**
**FEDROLIDINE (Pseudoephedrine hydrochloride 60 mg + Triprolidine hydrochloride 2.5 mg) (Tablets)**,**فيدروليدين (سودوإيفيدرين هيدروكلوريد ٦٠ ملغ + تريبوليدين هيدروكلوريد ٢.٥ ملغ) (أقراص)**
**Composition: Each film-coated tablet contains Tramadol Hydrochloride 50 mg**,**التركيب: يحوي كل قرص ملبس بالفيلم على ترامادول هيدروكلوريد ٥٠ ملغ**
