النص الإنجليزي,النص العربي (من الملف)
"**Packing: 2 blisters, each contains 10 film-coated tablets**",**التعبئة: علبتان من البليستر، كل منهما يحتوي على ١٠ أقراص ملبسة بالفيلم**
"**Storage Conditions: Store at room temperature, 20°-25° C**",**شروط الحفظ: يحفظ في درجة حرارة الغرفة، ٢٠-٢٥ درجة مئوية**
**Keep out of reach of children**,**يحفظ بعيدًا عن متناول الأطفال**
**Manufactured by: HAMA PHARMA Hama - Syria**,**تصنيع: حماة فارما - حماة - سوريا**
**THIS IS A MEDICAMENT**,**هذا دواء**
"**A medicament is a product which affects your health, and its consumption contrary to instructions is dangerous for you**",**الدواء منتج يؤثر على صحتك، واستخدامه خلاف التعليمات يعرضك للخطر**
**Follow strictly the doctor’s prescription**,**اتباع تعليمات الطبيب بدقة**
**Do not by yourself interrupt the period of treatment prescribed for you**,**لا تقاطع فترة العلاج الموصوفة لك من تلقاء نفسك**
**KEEP MEDICAMENTS OUT OF REACH OF CHILDREN**,**يحفظ الدواء بعيدًا عن متناول الأطفال**
**(Council of Arab Health Ministers)**,**(مجلس وزراء الصحة العرب)**
**(Arab Pharmacists Association)**,**(اتحاد الصيدليين العرب)**
