en,ar,section,source,confidence,type
Composition & Excipients,التركيب والسواغات,header,ABESTOL,high,term
Composition,التركيب,header,ABESTOL,high,term
Excipients,السواغات,gemini_curated,pricksage_gemini,very_high,term
Clinical Pharmacology,الصيدلة السريرية,header,ABESTOL,high,term
Indications,الاستطبابات,header,ABESTOL,high,term
Contraindications,مضادات الاستطبابات,gemini_curated,pricksage_gemini,very_high,term
Dosage And Administration,الجرعة وطريقة الاستعمال,header,ABESTOL,high,term
Dosage,الجرعة,header,ABESTOL,high,term
Side Effects,الآثار الجانبية,header,ABESTOL,high,term
Warnings,التحذيرات,header,ABESTOL,high,term
Precautions,الاحتياطات,header,ABESTOL,high,term
Drug Interactions,التداخلات الدوائية,header,ABESTOL,high,term
Interactions,التداخلات,header,ABESTOL,high,term
Storage,التخزين,header,ABESTOL,high,term
Packaging,التعبئة,header,ABESTOL,high,term
Renal Impairment,الاعتلال الكلوي,header,ABESTOL,high,term
tablets,أقراص,medical_term,ABESTOL,high,term
each tablet contains,يحتوي كل قرص على,medical_term,ABESTOL,high,term
once daily,مرة واحدة يومياً,medical_term,ABESTOL,high,term
store at room temperature,يحفظ في درجة حرارة الغرفة,medical_term,ABESTOL,high,term
hypersensitivity,فرط التحسس,medical_term,ABESTOL,high,term
allergic reaction,رد فعل تحسسي,medical_term,ABESTOL,high,term
nausea,غثيان,medical_term,ABESTOL,high,term
vomiting,إقياء,medical_term,ABESTOL,high,term
diarrhea,إسهال,medical_term,ABESTOL,high,term
constipation,إمساك,medical_term,ABESTOL,high,term
dizziness,دوار,medical_term,ABESTOL,high,term
headache,صداع,medical_term,ABESTOL,high,term
fatigue,تعب,medical_term,ABESTOL,high,term
dry mouth,جفاف الفم,medical_term,ABESTOL,high,term
rash,طفح جلدي,medical_term,ABESTOL,high,term
swelling,وذمة,medical_term,ABESTOL,high,term
hypotension,انخفاض ضغط الدم,medical_term,ABESTOL,high,term
hypertension,ارتفاع ضغط الدم,medical_term,ABESTOL,high,term
tachycardia,تسارع نبض القلب,medical_term,ABESTOL,high,term
bradycardia,بطء نبض القلب,medical_term,ABESTOL,high,term
renal function,وظائف الكلى,medical_term,ABESTOL,high,term
pregnancy,الحمل,medical_term,ABESTOL,high,term
half-life,عمر النصف,medical_term,ABESTOL,high,term
absorption,الامتصاص,medical_term,ABESTOL,high,term
contraindicated,مضاد استطباب,medical_term,ABESTOL,high,term
indicated,مستطب,medical_term,ABESTOL,high,term
maintenance dose,الجرعة الصيانة,medical_term,ABESTOL,high,term
overdose,فرط الجرعة,medical_term,ABESTOL,high,term
safety,السلامة,medical_term,ABESTOL,high,term
concomitant use,الاستعمال المتزامن,medical_term,ABESTOL,high,term
Composition & Excipients,التركيب,header,ABESTOL,high,term
Contraindications,مضادات,header,ABESTOL,high,term
Dosage and Administration,الجرعة,header,ABESTOL,high,term
Side Effects,الآثار,header,ABESTOL,high,term
Overdosage,فرط,header,ABESTOL,high,term
Mechanism of action,آلية التأثير,gemini_curated,pricksage_gemini,very_high,term
Overdosage,فرط الجرعة,header,AGILOMOX,high,term
Hepatic Impairment,الاعتلال الكبدي,header,AGILOMOX,high,term
Undesirable Effects,الآثار غير المرغوبة,header,AGILOMOX,high,term
keep out of reach of children,يحفظ بعيداً عن متناول الأطفال,medical_term,AGILOMOX,high,term
drowsiness,نعاس,medical_term,AGILOMOX,high,term
abdominal pain,ألم بطني,medical_term,AGILOMOX,high,term
itching,حكة,medical_term,AGILOMOX,high,term
shortness of breath,ضيق التنفس,medical_term,AGILOMOX,high,term
liver function tests,اختبارات وظائف الكبد,medical_term,AGILOMOX,high,term
breastfeeding,الإرضاع,medical_term,AGILOMOX,high,term
metabolism,الاستقلاب,medical_term,AGILOMOX,high,term
adverse effect,الأثر الضار,medical_term,AGILOMOX,high,term
Pharmacokinetics,الحرائك الدوائية,gemini_curated,pricksage_gemini,very_high,term
Adverse Reactions,التفاعلات الضارة,header,ALOGLIPTIN,high,term
