en,ar,section
Excipients,السواغات,header
"jejuni, Shigella boydii, Shigella dysenteriae, Shigella flexneri or Shigella sonnei when",جل,dosage_form
"• ciprofloxacin film-coated tablets, are not a drug of first choice in the treatment of presumed",أقراص ملبسة بالفيلم,dosage_form
CONTRAINDICATIONS,مضادات الاستطبابات,header
Resistant: prescribing Ciprofloxacin film-coated tablets in the absence of a proven or strongly,أقراص ملبسة بالفيلم,dosage_form
DRUG INTERACTIONS,التداخلات الدوائية,header
film-coated tablets with dairy products (like milk or yogurt) or calcium-fortified juices alone,أقراص ملبسة بالفيلم,dosage_form
DOSAGE AND ADMINISTRATION,الجرعة وطريقة الاستعمال,header
film-coated tablets when the physician prescribe it:,أقراص ملبسة بالفيلم,dosage_form
Hepatic Impairment,قصور كبدي,header
"PACKAGING: 1 or 2 blisters, each contains 10 film-coated tablets/carton box.",أقراص ملبسة بالفيلم,dosage_form
Ciprofloxacin Hama Pharma    (Film-Coated Tablets),أقراص ملبسة بالفيلم,dosage_form
