en,ar,section
– HAMAPHARMA/LEAF/Paracetamol Extra Hama Pharma Capsules    (Q:300x155mm),كبسولات,dosage_form
CAPSULES,كبسولات,dosage_form
Pharmacodynamic properties,الخصائص الديناميكية الدوائية,header
PHARMACOKINETIC PROPERTIES,الخصائص الحركية الدوائية,header
INDICATIONS,الاستطبابات,header
CONTRAINDICATIONS,مضادات الاستطبابات,header
WARNINGS AND PRECAUTIONS,التحذيرات والاحتياطات,header
UNDESIRABLE EFFECTS,الآثار غير المرغوبة,header
DRUG INTERACTIONS,التداخلات الدوائية,header
PREGNANCY AND LACTATION,الحمل والإرضاع,header
Summary: Treatment of overdose with Paracetamol Extra Hama Pharma Tablets requires,أقراص,dosage_form
Adults (including the elderly): 2 tablets up to 3 or 4 times a day if necessary. The dose should,أقراص,dosage_form
Children and adolescents aged 12 – 18 years: 2 tablets up to 3 or 4 times a day if necessary.,أقراص,dosage_form
"2 blisters, each contains 10 capsules/carton box.",كبسولات,dosage_form
