en,ar,section
(FILM-COATED TABLETS),أقراص ملبسة بالفيلم,dosage_form
COMPOSITION,التركيب,header
MECHANISM OF ACTION,آلية التأثير,header
PHARMACOKINETICS,الحرائك الدوائية,header
INDICATIONS,الاستطبابات,header
CONTRAINDICATIONS,مضادات الاستطبابات,header
SIDE EFFECTS,الآثار الجانبية,header
DOSAGE AND ADMINISTRATION,الجرعة وطريقة الاستعمال,header
"(5 mg/12.5 mg) daily, preferably at the same time of the day. Tablets",أقراص,dosage_form
the same time of the day. Tablets may be taken with meals.,أقراص,dosage_form
10 film-coated tablets in one blister/carton.,أقراص ملبسة بالفيلم,dosage_form
30 film-coated tablets in 3 blisters/carton.,أقراص ملبسة بالفيلم,dosage_form
