en,ar,section
Pharmacokinetic properties,الخصائص الحركية الدوائية,header
Indications,الاستطبابات,header
Contraindications,مضادات الاستطبابات,header
Warnings and Precautions,التحذيرات والاحتياطات,header
Drug interactions,التداخلات الدوائية,header
Adverse Reactions,ردود الفعل السلبية,header
For the film coated tablet: 1 tablet two to three times daily. The tablets,أقراص,dosage_form
Overdose,فرط الجرعة,header
E.C.T (20 tablets/carton box).,أقراص,dosage_form
REVMAT (Enteric-Coated Tablets),أقراص,dosage_form
– HAMAPHARMA/LEAF/REVMAT (Enteric-Coated Tablets)       (Q:230x160mm),أقراص,dosage_form
