en,ar,section
COMPOSITION,التركيب,header
EXCIPIENTS,السواغات,header
MECHANISM OF ACTION,آلية التأثير,header
PHARMACOKINETICS,الحرائك الدوائية,header
INDICATIONS,الاستطبابات,header
CONTRAINDICATIONS,مضادات الاستطبابات,header
SIDE EFFECTS,الآثار الجانبية,header
DRUG INTERACTIONS,التداخلات الدوائية,header
DOSAGE AND ADMINISTRATION,الجرعة وطريقة الاستعمال,header
OVERDOSE,فرط الجرعة,header
PRESENTATION,الشكل الصيدلي والتغليف,header
"3 Blisters, each contains 10 tablets of",أقراص,dosage_form
"3 Blisters, each contains 10 tablets of",أقراص,dosage_form
"3 Blisters, each contains 10 tablets of",أقراص,dosage_form
"3 Blisters, each contains 10 tablets of",أقراص,dosage_form
STORAGE,شروط الحفظ,header
(TABLETS),أقراص,dosage_form
