المصطلح الإنجليزي,المصطلح العربي (من الملف)
**Manufactured by: HAMA PHARMA Hama - Syria**,**تصنيع: حماة فارما - حماة - سوريا**
**Tel.: +963 33 8673941 Fax: +963 33 8673943**,**هاتف: +٩٦٣ ٣٣ ٨٦٧٣٩٤١ فاكس: +٩٦٣ ٣٣ ٨٦٧٣٩٤٣**
**THIS IS A MEDICAMENT**,**هذا دواء**
**A medicament is a product which affects your health**,**الدواء منتج يؤثر على صحتك**
**its consumption contrary to instructions is dangerous for you**,**استخدامه خلاف التعليمات يعرضك للخطر**
**Follow strictly the doctor’s prescription**,**اتباع تعليمات الطبيب بدقة**
**Do not by yourself interrupt the period of treatment prescribed for you**,**لا تقاطع فترة العلاج الموصوفة لك من تلقاء نفسك**
**KEEP MEDICAMENTS OUT OF REACH OF CHILDREN**,**يحفظ الدواء بعيدًا عن متناول الأطفال**
**(Council of Arab Health Ministers)**,**(مجلس وزراء الصحة العرب)**
**(Arab Pharmacists Association)**,**(اتحاد الصيدليين العرب)**
"**Store at room temperature, 15° - 30° C**",**يحفظ في درجة حرارة الغرفة، ١٥-٣٠ درجة مئوية**
"**Store at room temperature, 20° -25° C**",**يحفظ في درجة حرارة الغرفة، ٢٠-٢٥ درجة مئوية**
