en,ar,section
TUBOZID (tablets),أقراص,dosage_form
Mechanism of Action,آلية التأثير,header
"Isoniazid tablets, are recommended for all forms of tuberculosis in which organisms are susceptible. However, active",أقراص,dosage_form
"Isoniazid tablets, are recommended as preventive therapy for the following groups, regardless of age:",أقراص,dosage_form
CONTRAINDICATIONS,مضادات الاستطبابات,header
PRECAUTIONS,الاحتياطات,header
WARNINGS,التحذيرات,header
Drug Interactions,التداخلات الدوائية,header
ADVERSE REACTIONS,ردود الفعل السلبية,header
DOSAGE AND ADMINISTRATION,الجرعة وطريقة الاستعمال,header
OVERDOSAGE,فرط الجرعة,header
"Packaging: 3 blisters, each blisters contains 10 tablets/ carton box.",أقراص,dosage_form
