en,ar,section
COMPOSITION & EXCIPIENTS,التركيب والسواغات,header
MECHANISM OF ACTION,آلية التأثير,header
PHARMACOKINETICS,الحرائك الدوائية,header
"76% respectively with food), Rovaltro 20 and Rovaltro 15 tablets should be",أقراص,dosage_form
INDICATIONS,الاستطبابات,header
CONTRAINDICATIONS,مضادات الاستطبابات,header
ADVERSE REACTIONS,ردود الفعل السلبية,header
DRUG INTERACTIONS,التداخلات الدوائية,header
Important food effect information: Rovaltro 15 and Rovaltro 20 tablets,أقراص,dosage_form
"should be taken with food, while the Rovaltro 10 tablets can be taken with or",أقراص,dosage_form
"particular instance, two Rovaltro 15 tablets may be taken at once. The patient",أقراص,dosage_form
"- For patients who are unable to swallow whole tablets Rovaltro 2.5, 10, 15 or",أقراص,dosage_form
20 tablets may be crushed and mixed with applesauce immediately prior to use,أقراص,dosage_form
"gastric placement of the tube Rovaltro 2.5, 10, 15 or 20 tablets may be",أقراص,dosage_form
"Crushed Rovaltro 2.5 ,10, 15 or 20 tablets are stable in water and in applesauce",أقراص,dosage_form
packaging,التغليف,header
"(1) blister,   each contains 10 film-coated tablets/carton box, for each strength.",أقراص ملبسة بالفيلم,dosage_form
"Or (3) blisters, each contains 10 film-coated tablets/carton box, for each strength.",أقراص ملبسة بالفيلم,dosage_form
(Film-Coated Tablets),أقراص ملبسة بالفيلم,dosage_form
π GELôGAGä JóGN∏«á,جل,dosage_form
Ö GEL,جل,dosage_form
óhdá GdªôV°≈ ’C… GEL,جل,dosage_form
