en,ar,section
INDICATIONS,الاستطبابات,header
CONTRAINDICATIONS,مضادات الاستطبابات,header
SIDE EFFECTS,الآثار الجانبية,header
DRUG INTERACTIONS,التداخلات الدوائية,header
WARNINGS,التحذيرات,header
PRECAUTIONS,الاحتياطات,header
"PACKAGING: (3) blisters, each contains 10 tablets/carton box.",أقراص,dosage_form
DRNA STOP  (Tablets),أقراص,dosage_form
– HAMAPHARMA/LEAF/DRNA STOP (Tablets)          size (138x160mm),أقراص,dosage_form
Ö GELôGA GNàÑÉQ Gdëù°ÉS°«á a» GdªîàÑô,جل,dosage_form
Ö GYàªÉO eîàÑô eôL©» bÉOQ Y∏≈ GELôGA gò√ GdóQGS°Éä.,جل,dosage_form
– HAMAPHARMA/LEAF/DRNA STOP (Tablets)          size (138x160mm),أقراص,dosage_form
