النص الإنجليزي,النص العربي المقابل
**PRICKSAGE (Agomelatine 25mg) (Film-Coated Tablets)**,**بريكسيج (أقراص ملبسة بالفيلم) (أجوميلاتين ٢٥ ملغ)**
**AGILOMOX (Paracetamol 500 mg + Diclofenac Potassium 50 mg) (Tablets)**,**أجيلوموكس (باراسيتامول ٥٠٠ ملغ + ديكلوفيناك بوتاسيوم ٥٠ ملغ) (أقراص)**
"**ARIPIPRAZOLE (10 mg, 15 mg) (Tablets)**",**أريبيبرازول (١٠ ملغ، ١٥ ملغ) (أقراص)**
**Composition & Excipients: Each film-coated tablet contains...**,**التركيب والسواغات: يحوي كل قرص ملبس بالفيلم على...**
"**Chemical composition: Paracetamol 500 mg, Diclofenac Potassium 50 mg**",**التركيب الكيميائي: باراسيتامول ٥٠٠ ملغ، ديكلوفيناك بوتاسيوم ٥٠ ملغ**
**Each tablet contains 10 mg or 15 mg of aripiprazole**,**يحوي كل قرص على ١٠ ملغ أو ١٥ ملغ من أريبيبرازول**
"**Excipients: Microcrystalline cellulose, Maize starch, Lactose monohydrate, Magnesium stearate, Iron oxide red**",**السواغات: السليلوز البلوري المجهري، نشاء الذرة، لاكتوز أحادي الماء، ستيرات المغنيسيوم، أكسيد الحديد الأحمر**
**Mechanism of Action**,**آلية التأثير**
**Agomelatine is a melatonergic agonist (MT1 and MT2 receptors) and 5-HT2C antagonist**,**أجوميلاتين هو محفز للمستقبلات الميلاتونينية (MT1 و MT2) ومضاد للمستقبلات 5-HT2C**
**Diclofenac Potassium is a potent inhibitor of prostaglandin biosynthesis**,**ديكلوفيناك بوتاسيوم هو مثبط قوي لتخليق البروستاغلاندين**
**Aripiprazole exhibits partial agonist activity at D2 and 5-HT1A receptors and antagonist activity at 5-HT2A receptors**,**أريبيبرازول يُظهر نشاطًا محفزًا جزئيًا للمستقبلات D2 و5-HT1A ونشاطًا مضادًا للمستقبلات 5-HT2A**
**Pharmacokinetics**,**الحرائك الدوائية**
"**Absorption: Well absorbed after oral administration, with peak plasma concentrations within 3-5 hours**",**الامتصاص: يمتص بشكل جيد بعد التناول عن طريق الفم، مع وصول التركيز الأقصى في البلازما خلال ٣-٥ ساعات**
**Bioavailability: 87%**,**التوافر الحيوي: ٨٧٪**
**Distribution: >99% bound to serum proteins**,**التوزيع: أكثر من ٩٩٪ مرتبط ببروتينات المصل**
**Metabolism and Elimination: Approximately 25% in urine and 55% in feces**,**الاستقلاب والإطراح: حوالي ٢٥٪ في البول و٥٥٪ في البراز**
**Indications**,**استطبابات**
**For the treatment of major depressive episodes in adults**,**لعلاج نوبات الاكتئاب الرئيسية عند البالغين**
**For the relief of signs and symptoms of osteoarthritis with gastric protection**,**لتخفيف علامات وأعراض التهاب المفاصل التنكسية مع حماية معدية**
**Treatment of schizophrenia**,**علاج الفصام**
**Acute treatment of manic and mixed episodes associated with Bipolar I Disorder**,**العلاج الحاد للحالات الهوسية والمختلطة المرتبطة باضطراب ثنائي القطب من النوع الأول**
**Adjunctive treatment of major depressive disorder**,**العلاج المساعد لاضطراب الاكتئاب الرئيسي**
**Irritability associated with autistic disorder**,**التهيج المرتبط باضطراب التوحد**
**Treatment of Tourette's disorder**,**علاج اضطراب توريت**
**Analgesics (for pain relief)**,**مسكنات الألم**
**Anti-inflammatory**,**مضادات الالتهاب**
**Diuretic**,**مدر للبول**
**Antioxidant**,**مضاد للأكسدة**
**Contraindications**,**مضادات الاستطباب**
**Hypersensitivity to the drug or its components**,**فرط الحساسية للمادة الفعالة أو أي من مكونات الدواء**
**Active or history of recurrent peptic ulcer/haemorrhage**,**قرحة هضمية نشطة أو تاريخ من النزف أو الانثقاب المتكرر**
**History of gastrointestinal bleeding or perforation**,**تاريخ من نزف معدي معوي أو انثقاب**
"**Severe heart failure, hepatic failure, and renal failure**",**فشل قلبي حاد، فشل كبدي، وفشل كلوي**
**Children under the age of 14 years**,**الأطفال تحت سن ١٤ عام**
**Pregnancy**,**الحمل**
**Side Effects / Adverse Reactions**,**الآثار الجانبية / ردود الفعل السلبية**
