المصطلح الإنجليزي,المصطلح العربي (من الملف)
**Active pathological bleeding**,**نزف مرضى نشط**
**Severe hypersensitivity reactions to the drug or its components**,**ردود فعل تحسسية شديدة تجاه الدواء أو مكوناته**
**Severe hepatic impairment**,**قصور كبدي شديد**
**Severe renal impairment**,**قصور كلوي شديد**
**Active peptic ulceration or past history of ulceration or dyspepsia**,**قرحة هضمية نشطة أو تاريخ سابق من القرحة أو عسر الهضم**
**Patients who are suffering from gout**,**المرضى الذين يعانون من النقرس**
**Third trimester of pregnancy**,**الثلث الثالث من الحمل**
**Concurrent anticoagulant therapy**,**العلاج المتزامن بمضادات التخثر**
**Nasal polyps associated with asthma**,**سلائل أنفية مرتبطة بالربو**
"**Active gastric or intestinal ulcer, bleeding or perforation**",**قرحة معدية أو معوية نشطة، نزف أو انثقاب**
**Last trimester of pregnancy**,**الثلث الأخير من الحمل**
**Hepatic failure**,**فشل كبدي**
**Renal failure**,**فشل كلوي**
**Severe cardiac failure**,**فشل قلب شديد**
**Hypersensitivity to the active substance or to any of the excipients**,**فرط الحساسية للمادة الفعالة أو لأي من السواغات**
"**Hypersensitivity to clopidogrel, salicylates or NSAIDs**",**فرط الحساسية لكلوبيدوغريل، الساليسيلات أو مضادات الالتهاب غير الستيرويدية**
